Spec,Value1,Value2,Racquet
Length,27 in,69 cm,Tecnifibre TF-X1 300
Head Size,100 in,645.16 cm,Tecnifibre TF-X1 300
Weight,11.1 oz,315 gm,Tecnifibre TF-X1 300
Balance Point,13 in 33.02 cm,4pts HL,Tecnifibre TF-X1 300
Construction,24mm / 24mm / 24mm,,Tecnifibre TF-X1 300
Composition,Graphite,,Tecnifibre TF-X1 300
String Pattern,16 Mains / 19 Crosses,,Tecnifibre TF-X1 300
Length,27 in,69 cm,Prince Phantom 100X 305
Head Size,100 sq in,645 sq cm,Prince Phantom 100X 305
Weight,11.4 oz,323 g,Prince Phantom 100X 305
Balance Point,12.7 in 32 cm,6pts Head Light,Prince Phantom 100X 305
Construction,22mm / 20.5mm / 18mm,,Prince Phantom 100X 305
Composition,Textreme/Twaron/Graphite,,Prince Phantom 100X 305
String Pattern,16 Mains / 18 Crosses,,Prince Phantom 100X 305
Length,27 in,69 cm,Prince Textreme Tour 95
Head Size,95 sq in,613 sq cm,Prince Textreme Tour 95
Weight,11.9 oz,337 gm,Prince Textreme Tour 95
Balance Point,12.5 in 32 cm,8pts Head Light,Prince Textreme Tour 95
Construction,22mm/22mm/19mm,,Prince Textreme Tour 95
Composition,Textreme/Twaron/Graphite,,Prince Textreme Tour 95
String Pattern,16 Mains / 19 Crosses,,Prince Textreme Tour 95
Length,27 in,69 cm,Head Graphene 360+ Speed Pro
Head Size,100 sq in,645 sq cm,Head Graphene 360+ Speed Pro
Weight,11.6 oz,329 gm,Head Graphene 360+ Speed Pro
Balance Point,12.79 in 32 cm,6pts Head Light,Head Graphene 360+ Speed Pro
Construction,23mm / 23mm / 23mm,,Head Graphene 360+ Speed Pro
Composition,Graphene 360+/Graphite,,Head Graphene 360+ Speed Pro
String Pattern,18 Mains / 20 Crosses,,Head Graphene 360+ Speed Pro
Length,27 in,69 cm,Prince Phantom 93P 14x18 Review
Head Size,93 sq in,600 sq cm,Prince Phantom 93P 14x18 Review
Weight,12.1 oz,343 gm,Prince Phantom 93P 14x18 Review
Balance Point,12.59 in 32 cm,7pts Head Light,Prince Phantom 93P 14x18 Review
Construction,20.5mm/19.5mm/16.5mm,,Prince Phantom 93P 14x18 Review
Composition,Textreme/Twaron/Graphite,,Prince Phantom 93P 14x18 Review
String Pattern,14 Mains / 18 Crosses,,Prince Phantom 93P 14x18 Review
Length,27 in,69 cm,Yonex EZONE 98 2022
Head Size,98 sq in,632 sq cm,Yonex EZONE 98 2022
Weight,11.4 oz,323 gm,Yonex EZONE 98 2022
Balance Point,12.79 in 32 cm,6pts Head Light,Yonex EZONE 98 2022
Construction,23.5mm / 24.5mm / 19.5mm,,Yonex EZONE 98 2022
Composition,2G-NAMD/HM Graphite,,Yonex EZONE 98 2022
String Pattern,16 Mains / 19 Crosses,,Yonex EZONE 98 2022
Length,27 in,69 cm,Yonex VCORE PRO 100
Head Size,100 sq in,645 sq cm,Yonex VCORE PRO 100
Weight,11.2 oz,318 gm,Yonex VCORE PRO 100
Balance Point,13 in 33 cm,4pts HL,Yonex VCORE PRO 100
Construction,23mm / 23mm / 23mm,,Yonex VCORE PRO 100
Composition,2G-Namd/HM Graphite,,Yonex VCORE PRO 100
String Pattern,16 Mains / 19 Crosses,,Yonex VCORE PRO 100
Length,27.2 in,69 cm,Babolat Pure Drive 107
Head Size,107 sq in,690 sq cm,Babolat Pure Drive 107
Weight,10.6 oz,301 gm,Babolat Pure Drive 107
Balance Point,12.99 in 33 cm,5.5pts Head Light,Babolat Pure Drive 107
Construction,23mm / 26mm / 23mm,,Babolat Pure Drive 107
Composition,Graphite,,Babolat Pure Drive 107
String Pattern,16 Mains / 19 Crosses,,Babolat Pure Drive 107
Length,27 in,69 cm,Head Radical MP 2023
Head Size,98 sq in,632 sq cm,Head Radical MP 2023
Weight,11.2 oz,318 gm,Head Radical MP 2023
Balance Point,13 in 33 cm,4pts Head Light,Head Radical MP 2023
Construction,20mm / 23mm / 21mm,,Head Radical MP 2023
Composition,Graphene 360+/Graphite,,Head Radical MP 2023
String Pattern,16 Mains / 19 Crosses,,Head Radical MP 2023
Length,27 in,69 cm,Tecnifibre TF40 315 16x19
Head Size,98 sq in,632 sq cm,Tecnifibre TF40 315 16x19
Weight,11.7 oz,332 gm,Tecnifibre TF40 315 16x19
Balance Point,12.51 in 32 cm,8 pts Head Light,Tecnifibre TF40 315 16x19
Construction,22mm / 22mm / 22mm,,Tecnifibre TF40 315 16x19
Composition,Dynacore XTC/Graphite,,Tecnifibre TF40 315 16x19
String Pattern,16 Mains / 19 Crosses,,Tecnifibre TF40 315 16x19
Length,27 in,68.58 cm,Volkl V-Cell V1 Pro
Head Size,99 sq in,638.71 sq cm,Volkl V-Cell V1 Pro
Weight,11.1 oz,315 gm,Volkl V-Cell V1 Pro
Balance Point,13 in 33.02 cm,4pts HL,Volkl V-Cell V1 Pro
Construction,23mm / 20mm / 23mm,,Volkl V-Cell V1 Pro
Composition,VCell/Graphite,,Volkl V-Cell V1 Pro
String Pattern,16 Mains / 19 Crosses,,Volkl V-Cell V1 Pro
Length,27 in,69 cm,ProKennex Ki Black Ace Pro
Head Size,97 sq in,626 sq cm,ProKennex Ki Black Ace Pro
Weight,11.4 oz,323 gm,ProKennex Ki Black Ace Pro
Balance Point,13 in 33 cm,4pts Head Light,ProKennex Ki Black Ace Pro
Construction,19.5mm / 19.5mm / 19.5mm,,ProKennex Ki Black Ace Pro
Composition,SpiralTech Graphite,,ProKennex Ki Black Ace Pro
String Pattern,16 Mains / 19 Crosses,,ProKennex Ki Black Ace Pro
Length,27.5 in,70 cm,Solinco Whiteout 305 XTD
Head Size,98 sq in,632 sq cm,Solinco Whiteout 305 XTD
Weight,11.4 oz,323 gm,Solinco Whiteout 305 XTD
Balance Point,13 in 33 cm,6pts Head Light,Solinco Whiteout 305 XTD
Construction,21.7mm/21.7mm/21.7mm,,Solinco Whiteout 305 XTD
Composition,40T Cabon/Graphite,,Solinco Whiteout 305 XTD
String Pattern,16 Mains / 19 Crosses,,Solinco Whiteout 305 XTD
Length,27 in,69 cm,ProKennex Black Ace 315
Head Size,100 sq in,645 sq cm,ProKennex Black Ace 315
Weight,11.8 oz,335 gm,ProKennex Black Ace 315
Balance Point,12.59 in 32 cm,7pts Head Light,ProKennex Black Ace 315
Construction,21mm / 21mm / 21mm,,ProKennex Black Ace 315
Composition,SpiralTech Graphite,,ProKennex Black Ace 315
String Pattern,16 Mains / 19 Crosses,,ProKennex Black Ace 315
Length,27 in,69 cm,Wilson Clash 98 v2
Head Size,98 sq in,632 sq cm,Wilson Clash 98 v2
Weight,11.5 oz,326 gm,Wilson Clash 98 v2
Balance Point,12.5 in 32 cm,8pts Head Light,Wilson Clash 98 v2
Construction,24mm / 24mm / 24mm,,Wilson Clash 98 v2
Composition,Graphite,,Wilson Clash 98 v2
