"","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases","Number of confirmed malaria cases"
"Country"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"
"Afghanistan","105 295","173 860","248 689","313 086","241 233","119 859","106 478","52 965","54 840","77 549","69 798"
"Algeria","2 726","1 014","1 242","453","432","747","266","603","887","191","408"
"Angola","6 599 327","7 054 978","5 150 575","3 874 892","3 794 253","2 769 305","2 298 979","1 999 868","1 496 834","1 632 282","1 682 870"
"Argentina","","0","23","18","7","11","15","11","16","28","109"
"Armenia","3","","6","2","2","2","1","","4","","1"
"Azerbaijan","","0","2","1","1","1","2","4","4","8","52"
"Bangladesh","6 130","17 225","10 523","29 247","27 737","39 719","57 480","26 891","29 518","51 773","55 873"
"Belize","0","2","7","9","5","13","19","26","37","79","150"
"Benin","2 516 465","2 895 878","1 975 812","1 933 912","1 610 790","1 721 626","1 309 238","1 090 602","705 839","422 968",""
"Bhutan","54","42","54","51","74","104","48","45","82","194","436"
"Bolivia (Plurinational State of)","12 187","9 357","5 354","4 587","5 553","6 907","7 401","7 342","7 415","7 143","13 769"
"Botswana","953","272","585","1 909","723","332","1 346","456","193","432","1 046"
"Brazil","145 188","157 454","194 573","194 425","129 244","146 161","142 744","178 546","242 758","267 146","334 667"
"Burkina Faso","10 600 340","5 877 426","10 278 970","10 557 260","9 779 411","7 015 446","5 428 655","3 769 051","3 858 046","428 113","804 539"
"Burundi","4 720 103","9 959 533","4 966 511","8 795 952","8 793 176","5 428 710","4 726 299","4 178 338","2 166 690","1 575 237","1 763 447"
"Cabo Verde","10","40","21","446","75","28","46","46","36","36","47"
"Cambodia","15 891","32 197","62 582","76 804","43 380","68 109","69 178","44 069","69 551","106 905","96 464"
"Cameroon","2 890 193","2 819 803","2 257 633","2 244 788","2 476 153","1 193 281","","42 581","66 656","17 874",""
"Central African Republic","1 740 970","2 416 960","972 119","411 913","1 239 317","598 833","295 088","163 701","87 566","",""
"Chad","1 544 194","1 632 529","1 364 706","1 962 372","1 294 768","787 046","914 032","754 565","7 710","181 126","200 448"
"China","1 051","2 481","2 511","2 663","3 150","3 251","3 079","4 205","2 603","3 367","7 108"
"Colombia","76 236","80 415","63 143","54 102","83 227","55 866","40 768","51 722","60 179","64 436","117 650"
"Comoros","4 546","17 697","15 613","3 896","1 467","1 884","2 203","53 156","49 840","24 856","36 538"
"Congo","91 538","117 837","116 903","127 939","171 847","51 529","66 323","43 232","120 319","37 744",""
"Costa Rica","141","145","108","25","13","8","6","6","8","17","114"
"Côte d'Ivoire","4 980 640","5 935 178","4 766 477","4 032 381","3 754 504","3 375 904","3 712 831","2 524 326","1 140 627","29 976","62 726"
"Democratic People's Republic of Korea","1 819","1 869","3 698","4 603","5 033","7 022","10 535","14 407","21 850","16 760","13 520"
"Democratic Republic of the Congo","22 590 647","20 480 310","16 972 207","16 793 002","16 821 130","12 538 805","10 288 519","6 719 887","4 791 598","4 561 981","2 417 780"
"Djibouti","73 535","49 402","25 319","14 810","13 822","9 473","9 439","1 684","25","","1 010"
"Dominican Republic","829","1 314","484","398","755","661","496","579","952","1 616","2 482"
"Ecuador","2 001","1 909","1 806","1 380","1 424","686","242","378","558","1 232","1 888"
"El Salvador","","3","2","4","14","9","8","7","20","15","26"
"Equatorial Guinea","","25 904","8 962","15 725","147 714","15 142","20 417","16 405","15 169","22 466","53 813"
"Eritrea","74 041","93 878","46 440","54 005","24 251","28 036","50 534","21 317","21 815","34 848","35 982"
"Eswatini","325","577","957","1 127","317","475","711","962","562","549","268"
"Ethiopia","1 743 755","904 495","962 087","1 530 739","1 718 504","1 867 059","2 118 815","2 645 454","1 692 578","1 480 360","1 196 829"
"Gabon","53 659","53 182","111 719","35 244","23 915","23 867","31 900","28 982","19 753","","13 936"
"Gambia","75 801","53 386","87 448","78 040","162 739","246 348","168 256","242 513","313 469","268 020","116 353"
"Georgia","4","8","9","8","7","5","5","7","4","5","0"
"Ghana","5 447 563","6 115 267","4 931 454","7 003 155","5 428 979","5 657 096","3 415 912","1 643 642","3 755 166","1 041 260","1 071 637"
"Guatemala","1 058","2 072","3 021","4 124","5 001","5 540","4 931","6 214","5 346","6 817","7 384"
"Guinea","2 008 976","2 143 225","1 214 996","1 335 323","992 146","810 979","660 207","211 257","340 258","95 574","20 936"
"Guinea-Bissau","","160 907","171 075","152 619","156 471","150 085","97 424","54 584","50 381","71 982","50 391"
"Guyana","17 230","18 826","17 038","13 936","11 108","9 984","12 354","31 479","31 601","29 471","22 935"
"Haiti","22 987","10 687","8 828","19 135","21 430","17 583","17 696","26 543","27 866","34 350","84 153"
"Honduras","913","391","653","1 283","4 097","3 555","3 380","5 364","6 439","7 618","9 745"
"India","186 532","338 494","429 928","844 558","1 087 285","1 169 261","1 102 205","881 730","1 067 824","1 310 656","1 599 986"
"Indonesia","254 055","250 644","222 136","261 617","218 450","217 025","252 027","343 527","417 819","422 447","465 764"
"Iran (Islamic Republic of)","1 051","1 190","625","939","705","799","1 243","1 374","1 629","3 239","3 031"
"Kenya","3 659 170","5 019 389","2 318 090","3 607 026","3 064 796","2 041 277","2 851 555","2 375 129","1 453 471","1 002 805","898 531"
"Kyrgyzstan","","1","0","2","6","1","0","4","3","5","6"
"Lao People's Democratic Republic","3 498","6 692","9 038","8 435","15 509","36 078","50 674","39 589","46 153","17 532","22 879"
"Liberia","","915 845","","1 093 115","1 191 137","941 711","881 224","1 244 220","1 412 629","1 921 159","922 173"
"Madagascar","1 950 471","970 828","972 790","985 852","686 024","939 657","470 924","433 450","402 900","224 498","202 450"
"Malawi","7 139 065","5 184 107","5 865 476","4 947 443","4 827 373","3 661 238","2 905 310","1 280 892","1 564 984","304 499",""
"Malaysia","2 839","3 941","4 630","4 174","2 349","2 359","3 923","3 850","4 725","5 306","6 650"
"Mali","2 666 266","3 221 535","2 345 475","2 277 218","2 311 098","2 454 508","2 039 853","1 506 940","886 482","307 035","239 787"
"Mauritania","12 425","14 869","30 609","20 105","29 156","22 631","15 835","1 587","1 888","2 926","1 994"
"Mexico","369","641","826","765","596","551","666","499","842","1 130","1 233"
"Mozambique","11 318 685","11 734 926","10 304 472","9 892 601","9 690 873","8 222 814","7 407 175","3 282 172","1 853 276","1 756 874","1 522 577"
"Myanmar","58 836","56 640","76 518","85 019","110 146","182 616","205 658","333 871","481 204","465 294","420 808"
"Namibia","13 636","3 440","36 451","66 141","24 869","12 050","15 692","4 775","194","1 525","556"
"Nepal","430","710","1 192","1 742","1 009","1 837","1 469","1 974","3 230","3 414","3 894"
"Nicaragua","25 530","13 226","15 934","10 952","6 284","2 308","1 163","1 196","1 235","925","692"
"Niger","4 377 938","3 771 451","3 046 450","2 761 268","4 258 110","2 392 108","3 963 768","2 373 591","2 329 260","838 585","642 774"
"Nigeria","18 325 240","19 806 915","14 548 024","13 087 878","13 598 282","8 068 583","8 572 322","","","","551 187"
"Pakistan","371 828","413 533","374 510","369 817","324 466","202 013","275 149","281 755","290 781","334 589","240 591"
"Panama","2 203","1 597","715","689","811","562","874","705","844","354","418"
"Papua New Guinea","750 254","646 648","516 249","488 878","534 819","346 431","314 036","316 125","150 195","84 060","93 956"
"Paraguay","","0","0","5","10","8","8","11","15","10","29"
"Peru","15 847","24 324","45 619","55 367","56 623","66 609","65 252","48 719","31 436","25 005","31 545"
"Philippines","6 120","5 778","4 641","6 791","6 680","11 410","6 087","7 720","8 086","9 583","19 102"
"Republic of Korea","386","559","576","515","662","692","635","443","555","838","1 772"
"Rwanda","2 043 392","3 612 822","4 231 883","5 940 533","3 380 568","2 505 794","1 623 176","962 618","483 470","273 293","669 322"
"Sao Tome and Principe","1 944","2 742","2 940","2 241","2 238","2 058","1 754","9 243","12 550","8 442","2 740"
"Saudi Arabia","3 658","2 152","2 711","3 151","5 382","2 620","2 305","2 513","3 406","2 788","1 941"
"Senegal","445 313","354 708","530 944","395 706","349 540","492 253","268 912","366 687","280 241","274 119","330 331"
"Sierra Leone","725 006","1 799 466","1 733 831","1 651 236","1 775 306","1 483 376","1 374 476","1 701 958","1 537 322","638 859","934 028"
"Solomon Islands","77 637","72 767","59 191","52 519","54 432","23 998","18 404","25 609","24 383","26 657","39 704"
"Somalia","27 333","39 687","31 021","35 138","35 628","20 953","11 001","7 407","6 817","3 351","24 833"
"South Africa","8 126","13 833","10 789","29 615","4 323","4 959","11 705","8 645","6 621","9 866","8 060"
"South Sudan","661 922","1 903 742","98 843","1 488 005","7 619","24 371","71 377","262 520","225 371","112 024","900 283"
"Sri Lanka","30","53","48","57","41","36","49","95","93","175","736"
"Sudan","1 698 394","1 752 011","1 638 017","800 116","566 015","586 827","1 068 506","592 383","526 931","506 806","720 557"
"Suriname","244","215","235","551","327","376","401","729","569","795","1 771"
"Tajikistan","0","3","1","3","1","4","7","14","39","100","116"
"Thailand","3 940","5 421","6 750","11 440","17 800","24 155","41 218","41 602","46 895","24 897","32 480"
"Timor-Leste","14","9","8","30","94","80","411","1 223","5 518","19 739","48 137"
"Togo","","2 406 091","2 002 877","1 756 582","1 746 334","1 610 711","1 524 339","965 832","909 129","506 764","1 019 029"
"Türkiye","","","","214","208","221","249","251","376","128","81"
"Uganda","14 196 657","13 982 362","5 759 174","11 667 831","9 735 849","7 412 747","3 631 939","1 502 362","2 662 258","231 873","1 628 595"
"United Republic of Tanzania","5 977 913","5 913 584","6 053 714","5 744 907","5 762 373","4 902 653","680 252","1 554 638","1 987 629","2 151 236","1 279 362"
"Uzbekistan","2","1","0","0","0","0","1","3","1","1","5"
"Vanuatu","507","576","644","1 228","2 252","571","1 314","2 883","4 532","6 179","9 817"
"Venezuela (Bolivarian Republic of)","273 126","492 753","522 059","525 897","301 466","137 996","91 918","80 320","52 803","45 824","45 155"
"Viet Nam","1 422","4 765","4 813","4 548","4 161","9 331","15 752","17 128","19 638","16 612","17 515"
"Yemen","164 066","165 899","157 900","143 333","99 700","76 259","86 707","102 778","112 359","90 954","106 697"
"Zambia","8 121 215","5 147 350","5 039 679","5 505 639","4 851 319","4 184 661","4 077 547","","","",""
"Zimbabwe","447 381","308 173","264 018","468 276","314 003","482 379","548 276","422 633","276 963","319 935","249 379"
