"","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths"
"Country"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","110 [ 41- 190]","170 [ 65- 300]","292 [ 110- 500]","378 [ 150- 660]","351 [ 120- 620]","174 [ 63- 320]","152 [ 53- 280]","129 [ 41- 260]","92 [ 30- 190]","192 [ 56- 380]","165 [ 48- 320]","139 [ 43- 290]","198 [ 61- 410]","236 [ 72- 500]","222 [ 64- 470]","259 [ 86- 520]","350 [ 120- 670]","798 [ 210- 1 540]","1 133 [ 230- 2 210]","965 [ 210- 2 020]","965 [ 210- 2 030]"
"Albania","No malaria","","","","","","","","","","","","","","","","","","","",""
"Algeria","No malaria","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","2"
"Andorra","No malaria","","","","","","","","","","","","","","","","","","","",""
"Angola","15 989 [ 9 990- 28 800]","13 622 [ 9 440- 20 500]","13 489 [ 9 390- 20 000]","13 941 [ 9 680- 20 600]","13 430 [ 9 440- 19 500]","12 551 [ 9 090- 17 800]","12 036 [ 8 890- 16 600]","11 586 [ 8 740- 15 600]","11 461 [ 8 860- 15 000]","11 832 [ 9 310- 15 200]","12 398 [ 9 960- 15 500]","13 342 [ 10 900- 16 400]","15 280 [ 12 700- 18 500]","18 237 [ 15 400- 21 700]","20 525 [ 17 600- 24 000]","21 709 [ 18 900- 25 000]","22 169 [ 19 500- 25 300]","22 694 [ 20 100- 25 700]","22 952 [ 20 500- 26 000]","24 478 [ 21 900- 27 600]","23 661 [ 21 200- 26 500]"
"Antigua and Barbuda","No malaria","","","","","","","","","","","","","","","","","","","",""
"Argentina","No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Armenia","No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Australia","No malaria","","","","","","","","","","","","","","","","","","","",""
"Austria","No malaria","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","No malaria No malaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bahamas","No malaria","","","","","","","","","","","","","","","","","","","",""
"Bahrain","No malaria","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","15 [ 0 - 26 ]","47 [ 1- 83]","26 [ 0 - 45 ]","73 [ 2- 120]","72 [ 2- 120]","105 [ 4- 180]","160 [ 6- 270]","77 [ 2- 130]","85 [ 3- 150]","155 [ 5- 270]","166 [ 6- 290]","158 [ 9- 270]","264 [ 12- 480]","263 [ 13- 540]","139 [ 6- 290]","216 [ 8- 480]","213 [ 8- 470]","209 [ 8- 460]","206 [ 8- 450]","202 [ 8- 440]","199 [ 8- 440]"
"Barbados","No malaria","","","","","","","","","","","","","","","","","","","",""
"Belarus","No malaria","","","","","","","","","","","","","","","","","","","",""
"Belgium","No malaria","","","","","","","","","","","","","","","","","","","",""
"Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
