date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-09-13,AD,34,0,,,46147,155,,300307
2022-09-13,AE,402,0,,325016,1021191,2342,,168522672
2022-09-13,AF,259,0,,,196663,7791,,994894
2022-09-15,AF_BAL,4,0,11,,8445,579,7781,
2022-09-15,AF_BAM,5,0,25,,4013,52,3902,
2022-09-15,AF_BDG,0,0,0,,2178,32,1870,
2022-09-15,AF_BDS,47,0,25,,4701,88,4464,
2022-09-15,AF_BGL,12,0,0,,4894,99,4703,
2020-07-19,AF_DAY,220,2,73,,469,3,101,
2022-09-15,AF_FRA,6,0,0,,2693,164,1692,
2022-09-15,AF_FYB,0,0,0,,2258,145,1802,
2022-09-15,AF_GHA,35,0,0,,5135,161,4542,
2022-09-15,AF_GHO,7,0,0,,3765,60,3373,
2022-09-15,AF_HEL,4,0,0,,4175,166,3713,
2020-07-19,AF_HER,409,30,1794,,5296,160,3751,
2020-07-19,AF_JOW,0,0,105,,196,6,188,
2022-09-15,AF_KAB,32,3,0,,31626,2384,30821,
2022-09-15,AF_KAN,13,0,0,,10853,257,10870,
2022-09-15,AF_KAP,14,0,64,,4498,89,3710,
2022-09-15,AF_KDZ,2,0,0,,5886,225,5534,
2022-09-15,AF_KHO,14,0,4,,1968,259,1591,
2022-09-15,AF_KNR,1,0,26,,2846,106,2414,
2022-09-15,AF_LAG,18,0,0,,3115,189,3433,
2022-09-15,AF_LOG,28,0,22,,3505,96,2994,
2022-09-15,AF_NAN,43,0,0,,16016,534,13711,
2020-07-19,AF_NIM,29,1,10,,374,8,314,
2020-07-19,AF_NUR,1,0,0,,75,0,17,
2020-07-19,AF_PAN,25,1,86,,285,16,208,
2022-09-15,AF_PAR,40,0,0,,5059,50,4306,
2020-07-19,AF_PIA,78,10,410,,1168,34,592,
2022-09-15,AF_PKA,16,0,0,,1679,53,1308,
2022-09-15,AF_SAM,5,0,0,,1763,73,1638,
2020-07-19,AF_SAR,0,0,0,,130,6,124,
2022-09-15,AF_TAK,32,0,30,,6545,233,5973,
2022-09-15,AF_URU,8,0,3,,1118,20,572,
2022-09-15,AF_WAR,21,0,56,,5988,215,5593,
2022-09-15,AF_ZAB,11,0,0,,2979,80,2094,
2022-09-13,AG,34,0,,,9008,145,,16700
2022-09-13,AI,5,0,,,3856,12,,51382
2022-09-13,AL,104,0,,957,330149,3586,,1613870
2022-09-13,AM,0,0,,1467,439302,8669,,3102267
2022-09-13,AO,0,0,,1459,103131,1917,,1618566
2022-09-13,AR,0,0,,4711,9697763,129830,,28250765
2022-06-04,AR_A,5,0,,38,157038,3442,,433092
2022-06-04,AR_A_007,0,0,,1,6680,135,,15848
2022-06-02,AR_A_014,0,0,,1,1418,23,,3168
2022-06-02,AR_A_021,0,0,,2,2902,71,,7027
2022-06-04,AR_A_028,5,0,,16,81937,1551,,221717
2022-06-04,AR_A_035,0,0,,1,5484,101,,13669
2022-06-04,AR_A_042,0,0,,2,2987,70,,7290
2022-06-04,AR_A_049,0,0,,2,5054,182,,15034
2022-06-04,AR_A_056,0,0,,5,10790,314,,39589
2022-06-02,AR_A_070,0,0,,1,788,21,,1830
2022-06-04,AR_A_077,0,0,,1,2392,27,,6628
2022-06-02,AR_A_098,0,0,,4,1546,48,,3720
2022-06-04,AR_A_105,0,0,,5,1146,19,,2738
2022-06-04,AR_A_112,0,0,,2,5920,111,,12818
2022-05-16,AR_A_119,0,0,,1,1011,7,,2481
2022-06-03,AR_A_126,0,0,,5,11633,391,,41371
2022-06-02,AR_A_133,0,0,,1,2475,59,,6825
2022-06-04,AR_A_140,0,0,,2,3514,89,,7565
2022-06-04,AR_A_147,0,0,,1,5294,161,,12950
2022-06-01,AR_A_154,0,0,,1,1047,22,,2303
2022-05-31,AR_A_161,0,0,,2,1221,16,,3945
2022-06-04,AR_B,541,0,,1437,3584055,60069,,9598138
2022-06-03,AR_B_007,1,0,,1,2116,27,,4719
2022-06-03,AR_B_014,2,0,,2,1852,30,,4127
2022-06-04,AR_B_021,1,0,,1,2836,35,,8448
2022-06-04,AR_B_028,14,0,,52,121359,2379,,312320
2022-06-04,AR_B_035,26,0,,49,86029,1570,,261998
2022-06-04,AR_B_042,1,0,,1,4397,56,,11887
2022-06-04,AR_B_049,3,0,,4,14947,274,,41453
2022-06-04,AR_B_056,4,0,,3,65476,930,,126247
2022-06-03,AR_B_063,4,0,,5,15188,236,,26066
2022-06-03,AR_B_070,4,0,,9,6088,122,,13348
2022-06-03,AR_B_077,0,0,,2,6217,93,,11648
2022-06-04,AR_B_084,1,0,,1,2547,47,,6122
2022-06-04,AR_B_091,5,0,,13,71694,1248,,173582
2022-06-04,AR_B_098,3,0,,7,21579,382,,51663
2022-06-04,AR_B_105,1,0,,1,11512,172,,41338
2022-06-04,AR_B_112,0,0,,1,10492,228,,27365
2022-06-03,AR_B_119,2,0,,3,6194,79,,12196
2022-06-04,AR_B_126,4,0,,7,26153,341,,60423
2022-06-04,AR_B_134,8,0,,14,12231,169,,31869
2022-06-03,AR_B_140,1,0,,2,3271,50,,7406
2022-06-03,AR_B_147,1,0,,2,4784,96,,11068
2022-06-04,AR_B_154,5,0,,6,2936,40,,4898
2022-06-04,AR_B_161,7,0,,7,3121,53,,8984
2022-06-04,AR_B_168,3,0,,3,1756,27,,3589
2022-06-03,AR_B_175,1,0,,1,5621,100,,10145
2022-06-04,AR_B_182,2,0,,4,7308,136,,12467
2022-06-03,AR_B_189,5,0,,14,3582,57,,6297
2022-06-03,AR_B_196,0,0,,1,2749,101,,6833
2022-06-04,AR_B_203,1,0,,1,9453,148,,22376
2022-06-04,AR_B_210,5,0,,25,14172,212,,33158
2022-06-04,AR_B_217,3,0,,8,8307,121,,18182
2022-06-04,AR_B_224,1,0,,2,17868,258,,41047
2022-06-02,AR_B_231,5,0,,5,4081,58,,9735
2022-06-04,AR_B_238,1,0,,1,4796,97,,9442
2022-06-04,AR_B_245,0,0,,6,15581,219,,33837
2022-06-04,AR_B_252,2,0,,7,54808,978,,141854
2022-06-04,AR_B_260,5,0,,15,84450,1121,,204737
2022-06-03,AR_B_266,1,0,,4,8040,91,,19640
2022-06-04,AR_B_270,3,0,,10,41339,544,,104892
2022-06-04,AR_B_274,4,0,,17,84249,1292,,203681
2022-06-04,AR_B_277,1,0,,1,2533,26,,5712
2022-06-02,AR_B_280,0,0,,2,6432,134,,14301
2022-06-03,AR_B_287,4,0,,3,2131,29,,5815
2022-06-03,AR_B_294,1,0,,1,3700,54,,6442
2022-06-01,AR_B_301,0,0,,1,3239,40,,6121
2022-05-27,AR_B_308,0,0,,1,513,3,,796
2022-06-04,AR_B_315,0,0,,2,5168,76,,10006
2022-06-03,AR_B_322,1,0,,1,2598,25,,6539
2022-06-03,AR_B_329,0,0,,2,3619,52,,8607
2022-05-31,AR_B_336,2,0,,2,776,4,,1973
2022-06-04,AR_B_343,4,0,,4,2574,25,,4586
2022-06-04,AR_B_351,1,0,,15,2202,63,,7126
2022-06-04,AR_B_357,6,0,,14,157002,2967,,342443
2022-06-04,AR_B_364,5,0,,12,22940,251,,54435
2022-06-04,AR_B_371,21,0,,54,103411,1870,,297726
2022-06-03,AR_B_385,2,0,,3,5001,96,,10426
2022-06-04,AR_B_392,1,0,,1,5752,180,,10239
2022-06-03,AR_B_399,0,0,,1,2282,36,,3463
2022-06-03,AR_B_406,0,0,,1,2578,42,,5204
2022-06-04,AR_B_408,4,0,,9,44431,820,,113365
2022-06-04,AR_B_410,9,0,,19,42316,765,,111003
2022-06-04,AR_B_412,8,0,,51,52120,1070,,144031
2022-06-04,AR_B_413,5,0,,7,27041,528,,61244
2022-06-04,AR_B_420,2,0,,14,17615,287,,47301
2022-06-04,AR_B_427,47,0,,164,292173,5349,,832708
2022-06-04,AR_B_434,17,0,,58,112907,1834,,325003
2022-06-04,AR_B_441,23,0,,55,165807,2800,,417508
2022-06-02,AR_B_448,1,0,,1,2775,28,,5639
2022-06-04,AR_B_455,1,0,,1,3240,88,,7242
2022-06-03,AR_B_462,3,0,,7,4420,122,,7854
2022-06-04,AR_B_469,4,0,,5,11298,157,,22735
2022-06-04,AR_B_476,1,0,,4,5389,74,,10425
2022-06-03,AR_B_483,4,0,,5,6134,108,,12063
2022-06-04,AR_B_490,19,0,,61,130939,1777,,394125
2022-06-04,AR_B_497,11,0,,17,25174,470,,60988
2022-06-04,AR_B_505,1,0,,0,4321,56,,7940
2022-06-03,AR_B_511,0,0,,1,2004,39,,4002
2022-06-04,AR_B_515,5,0,,10,69490,1385,,187609
