"","date","location_key","new_persons_vaccinated","cumulative_persons_vaccinated","new_persons_fully_vaccinated","cumulative_persons_fully_vaccinated","new_vaccine_doses_administered","cumulative_vaccine_doses_administered","new_persons_vaccinated_pfizer","cumulative_persons_vaccinated_pfizer","new_persons_fully_vaccinated_pfizer","cumulative_persons_fully_vaccinated_pfizer","new_vaccine_doses_administered_pfizer","cumulative_vaccine_doses_administered_pfizer","new_persons_vaccinated_moderna","cumulative_persons_vaccinated_moderna","new_persons_fully_vaccinated_moderna","cumulative_persons_fully_vaccinated_moderna","new_vaccine_doses_administered_moderna","cumulative_vaccine_doses_administered_moderna","new_persons_vaccinated_janssen","cumulative_persons_vaccinated_janssen","new_persons_fully_vaccinated_janssen","cumulative_persons_fully_vaccinated_janssen","new_vaccine_doses_administered_janssen","cumulative_vaccine_doses_administered_janssen","new_persons_vaccinated_sinovac","total_persons_vaccinated_sinovac","new_persons_fully_vaccinated_sinovac","total_persons_fully_vaccinated_sinovac","new_vaccine_doses_administered_sinovac","total_vaccine_doses_administered_sinovac"
"1",2022-09-04,"AD",1,57893,4,53478,118,154195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2022-06-05,"AE",100594,9991089,89691,9792266,28799,24909327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2022-06-20,"AE",0,9991089,0,9792266,12727,24922054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2022-09-12,"AF",3885,10827184,9432,10105500,9447,11734635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2022-06-17,"AG",96,64091,149,62031,245,126122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2022-08-17,"AI",9,10846,41,10314,42,24102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2022-08-19,"AI",0,10846,0,10314,0,24102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2022-09-04,"AL",1563,1335654,2451,1261243,10058,2966256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2022-05-22,"AM",165,1129669,556,985807,879,2150112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2022-09-04,"AO",25042,14220830,18341,7814121,70569,22297104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
