Date,Virginia,California,Florida,Texas,Nevada,New York,New Jersey,Arizona,Tennessee,West Virginia,Georgia,North Carolina,Massachusetts,Hawaii,Colorado,Michigan,South Carolina,Vermont,Minnesota,Indiana,Washington,Illinois,Oregon,Connecticut,Utah,North Dakota,Montana,New Hampshire,Ohio,Missouri,Maryland,Idaho,Wisconsin,Kansas,Pennsylvania,Oklahoma,the District of Columbia,Nebraska,Alaska,New Mexico,Wyoming,Delaware,Rhode Island,Maine,Louisiana,Arkansas,Alabama,Mississippi,South Dakota,Iowa,Kentucky
2000-01-01,114447.61021583400,183262.57955882400,102232.22517374600,103490.65946697800,152617.6891398660,122870.91047383900,151147.91467233900,127957.13483170200,92783.60374373280,58202.55537059380,111883.19275789300,116313.62836389100,183093.40114724300,176094.97059055300,169817.47378142600,98077.46635002210,100082.12801682500,88760.46352736290,112685.12953256800,91156.25984870800,166298.0638909310,108150.38061742300,142976.08300579600,156392.29653816700,161826.87044872400,,,125227.58631148600,94814.6167029762,84986.37802002520,139019.108907778,115529.37172102200,102198.33073744300,72592.7134391723,87543.56738898640,70112.07447425590,147816.88373636200,105969.63217168100,125485.41376486600,,,132901.76114841500,125135.73507795700,92611.94727742480,83284.771181694,69179.82837332760,76905.50842425270,66142.29157824180,91458.96682861320,75995.83534218850,78365.56761495330
2000-02-01,114741.96631521300,183880.06924120200,102454.00598921800,103545.62409213200,152636.76300423300,123309.12315829900,151556.38742040000,128189.1523035110,92862.22273139990,58201.41324783840,112136.00439265200,116487.64304623400,183705.10659008200,176016.6521734480,170420.8672907690,98126.33065130040,100302.74595344100,88905.99207584840,113062.83464913400,91029.79971646360,166675.0832735920,108238.05065799600,143291.01235619000,156987.0884499010,161913.65199660600,,,125651.97717343200,94872.08025178210,85085.94416325970,138999.29494296700,115460.29500792000,102167.50956079000,72601.29505103530,87730.94008346790,70144.75180425750,148303.5641453810,106138.91095167200,125628.68624984500,,,133109.24953465900,125706.09177077700,92919.34981048500,83447.38283819310,69272.4958507362,77038.84673161840,66103.95101270800,91257.21078229690,76144.3558603815,78399.69663987770
2000-03-01,115054.21652792800,184712.65122051500,102722.503197898,103571.54484577900,152873.56943887000,123730.45494004200,151945.24417820000,128487.65960348000,92942.49139210940,58221.847381273000,112428.11386912100,116667.14399610600,184433.11625080100,176288.8520154210,171086.72830526900,98319.10301221550,100482.38348206700,89138.39385956850,113413.76052953500,90887.28701288120,167057.36345412300,108426.50950407500,143578.12019395100,157608.00928999600,162050.14079661900,,,126160.51643916300,94958.98473739640,85234.65679996100,139097.01276423400,115505.3560030460,102281.11660280300,72681.55121251250,87907.00112595660,70281.64445113490,148977.89301174700,106295.80272786500,125771.20614509800,,,133366.77226487100,126302.09613603500,93194.70778271490,83573.55759865,69379.0999350454,77128.12333921060,66100.57186749820,90981.46728863460,76282.5832106028,78467.78266647560
2000-04-01,115644.32271771200,186519.21738284200,103268.02699104600,103704.31753074200,153416.20150061500,124636.15125399400,152806.36763241000,129097.08558662500,93134.74393532550,58272.75513614960,113043.39905051600,117057.54147116100,185866.80084389300,176760.35177316700,172575.30513994800,98704.09767836670,100894.45537480100,89595.77385338300,114238.4581505900,90452.89371043860,167828.53078468600,108868.96988606200,144180.46459811500,158659.90467430200,162394.01436503900,,,126924.3544453280,95215.4890172175,85574.73140801850,139332.43523567600,115598.35861424000,102444.13576563100,72800.53574932230,88265.71773285290,70530.39650291800,150433.68963564600,106540.88416017400,125938.43548306900,,,133955.65049167800,127478.54933978300,93801.9510589781,83857.30407375010,69607.46257167330,77328.17549524740,66145.2770138365,90608.52688720170,76579.78072271410,78641.01163512600
2000-05-01,116214.88146723400,188617.44573334200,103855.9211373330,103789.66346396100,154107.49111962500,125571.45619433700,153682.76441574700,129787.820508183,93355.69237573290,58369.44648384720,113722.91197138700,117494.48653871400,187418.6723083370,177673.94800648700,174235.94962418900,99278.93757400890,101279.39641468300,90125.4446150792,115143.85583914300,90242.3669655843,168667.94125201800,109394.03459273800,144716.9663154540,159524.51057284900,163657.04151911800,,,127762.2019031140,95607.4601256636,86013.96670339340,139830.14947549800,115898.61092795800,102771.37512924800,72986.91196816050,88634.17872032200,70860.35236685620,152047.4740726040,106666.2903665540,126189.54731264200,,,134626.63031008200,128652.35594888700,94375.72494966270,84156.40938117780,69836.03123347390,77551.44397170390,66375.69765564590,90454.88774441400,76903.94310851220,78877.7314734499
2000-06-01,116767.2578061890,190880.8013110580,104455.7774053420,103886.31136077100,154727.58296232100,126582.52978447000,154729.2739014730,130409.13808207000,93574.17566926970,58527.87819089740,114443.73680284200,117961.40986988700,189099.7113888540,178704.9801649620,176029.53699027500,99914.93683790570,101703.88450923900,90620.32764865920,116192.3663143470,90306.69257731750,169469.49216513100,109984.39596407500,145215.1192472980,160381.8384789880,165051.49689071600,,,128647.0034920640,96094.96412480130,86499.59573354680,140435.58771100400,116264.79276272000,103156.1077771870,73199.82983404310,89012.78620535630,71171.55310379630,153801.76953488600,106741.36566610500,126377.58235047300,,,135366.98215332400,129552.85133585700,95019.93086234270,84480.95912116080,70058.81628717200,77821.55767344630,66707.50688207420,90351.16796861080,77229.67779591020,79142.34447043740
2000-07-01,117439.32823111300,193271.35097493800,105058.72991614700,103950.106582294,155207.4078931480,127491.48386414000,155914.44549490600,131041.34904625800,93809.73068214410,58735.02943199330,115172.82370433500,118419.1780012000,191088.37680838800,179736.460789702,177847.4755020100,100661.48941619400,102116.14585357800,91112.2578536133,117347.45469612400,90758.81480447980,170341.5400189880,110625.33251849200,145630.16257100300,161341.10174213100,166451.3765935650,,,129872.98295556500,96577.7064786373,87027.6715870311,141152.99859094700,116626.52922061100,103665.86364370300,73478.79180278900,89414.81057926740,71492.91428992810,155473.5622770080,106826.34362956600,126770.46736932800,,,136120.4183216340,130379.30230437500,95711.82356700090,84797.06791727700,70276.40245247860,78071.86645133320,67014.8826263752,90279.80584017300,77560.68319625690,79444.57803054000
2000-08-01,118232.54050731300,195768.44718559600,105672.89630544400,104141.42210337300,155669.2052447330,128287.46807439200,157355.604073186,131646.49347649700,94052.16742737140,59004.72830903230,115944.10183114600,118852.49384429000,193534.86588722800,180936.27058405200,179826.2647932100,101418.1406650340,102570.20080760000,91619.33432479440,118931.2748097570,91222.79419138960,171148.10837862200,111531.92660260800,146073.6804355040,162502.13491480600,167027.51261757700,,,131307.5092261280,97047.6445807317,87597.3753369189,141816.43228338000,116991.84458826900,104229.40998476600,73783.05715406340,89798.46902182720,71791.33098200980,156914.56567954900,107028.74199448900,126956.07795245500,,,136853.54656038900,131203.9573422430,96430.51049386580,85045.73734207530,70523.39314947420,78298.49355409210,67309.07130036240,90147.93316511470,77844.24641605670,79793.18744423900
2000-09-01,119099.6247113330,198272.57138428100,106309.38622701700,104393.29517573500,156224.86909250100,128993.99320467600,158949.31019635300,132313.66227557100,94341.1955641292,59246.82766693310,116732.86604514200,119276.7653503580,196283.22288124800,182122.42857981,181903.9537082860,102143.50504295100,103038.97893106300,92178.45290658190,120569.97499009400,91582.81180289920,171882.83634461400,112596.15159108900,146446.5789228300,163725.0211934580,167532.37861030800,,,132847.14860450600,97510.01962526420,88171.39598161940,142490.7621323190,117297.58380480100,104793.92348486900,74069.44926539100,90189.33992627070,72061.98188158910,157993.07358257000,107275.6885603180,127122.2915262430,,,137530.28434804900,132213.3773824970,97177.34597698370,85330.28984502790,70803.18530438600,78542.92425664750,67571.81781963470,90336.91952223610,78141.22868164880,80181.93499518230
2000-10-01,119920.51919825200,200646.80870761100,106959.10532627000,104664.16706955900,156849.66573030200,129752.65066593700,160560.7089270830,132955.84537196900,94620.43489112260,59526.16348602880,117553.07421260000,119726.11702791300,199186.11967411300,183363.5373858200,183967.51280729700,102822.26039652100,103500.23759439400,92850.35398703040,122248.01410571000,92018.95925684070,172523.20290061200,113821.77851740900,146821.21885196100,165063.33415452700,167960.37244794400,,,134617.26437550200,97957.27377566930,88782.34760857760,143201.65167109100,117593.08615076400,105346.65658637100,74363.254943286,90564.20103940190,72303.293051254,158269.1331604330,107534.87545457000,127065.2900849460,,,138134.63290194700,133224.4931849470,97882.6849778103,85667.60012796810,71085.57497498560,78823.81632016940,67935.42609635790,90549.09358990390,78508.69067809150,80547.06055606100
