"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2020,269,250,19,0,0,0,0,74,49,36,0,0,198,71,0
"Alabama","Clay",2020,108,99,9,0,0,0,0,86,49,26,0,0,0,108,0
"Alabama","DeKalb",2020,364,350,14,0,0,0,0,90,45,36,0,0,331,33,0
"Alabama","Elmore",2020,197,197,0,0,0,0,0,47,41,31,0,0,197,0,0
"Alabama","Etowah",2020,278,260,18,0,0,0,0,92,46,34,0,0,204,74,0
"Alabama","Jefferson",2020,366,212,151,3,0,0,0,129,67,48,0,2,123,241,0
"Alabama","Lawrence",2020,90,87,3,0,0,0,0,75,36,18,0,0,0,90,0
"Alabama","Madison",2020,364,307,57,0,0,0,0,88,54,40,0,0,132,227,5
"Alabama","Mobile",2020,348,256,92,0,0,0,0,75,58,42,0,0,114,234,0
"Alabama","Montgomery",2020,361,162,197,2,0,0,0,116,66,52,0,0,36,325,0
"Alabama","Morgan",2020,355,308,47,0,0,0,0,71,52,35,0,0,140,215,0
"Alabama","Russell",2020,365,299,66,0,0,0,0,99,56,36,0,0,111,254,0
"Alabama","Shelby",2020,241,232,9,0,0,0,0,67,46,34,0,0,241,0,0
"Alabama","Sumter",2020,355,343,12,0,0,0,0,70,44,29,0,0,178,177,0
"Alabama","Tuscaloosa",2020,278,267,11,0,0,0,0,97,45,31,0,0,205,73,0
"Alaska","Aleutians East ",2020,121,121,0,0,0,0,0,31,22,8,0,0,0,121,0
"Alaska","Anchorage ",2020,366,334,32,0,0,0,0,91,48,22,7,0,0,232,127
"Alaska","Bethel ",2020,167,166,1,0,0,0,0,56,21,6,0,0,0,24,143
"Alaska","Denali ",2020,358,357,1,0,0,0,0,54,42,33,0,0,353,5,0
"Alaska","Fairbanks North Star ",2020,366,255,74,17,20,0,0,170,106,33,0,0,91,265,10
"Alaska","Juneau ",2020,361,343,17,1,0,0,0,101,40,14,0,0,0,331,30
"Alaska","Kenai Peninsula ",2020,122,122,0,0,0,0,0,43,15,8,0,0,0,122,0
"Alaska","Matanuska-Susitna ",2020,359,333,25,1,0,0,0,103,45,13,0,0,0,284,75
"Alaska","North Slope ",2020,112,112,0,0,0,0,0,44,12,5,0,0,0,112,0
"Arizona","Apache",2020,364,360,4,0,0,0,0,58,29,14,0,0,0,24,340
"Arizona","Cochise",2020,366,274,90,2,0,0,0,108,61,45,0,0,303,2,61
"Arizona","Coconino",2020,366,308,58,0,0,0,0,93,54,44,0,0,352,14,0
"Arizona","Gila",2020,366,256,99,8,3,0,0,174,74,44,0,0,338,1,27
"Arizona","La Paz",2020,366,294,70,2,0,0,0,125,58,44,0,0,358,0,8
"Arizona","Maricopa",2020,366,14,151,60,67,74,0,282,215,112,0,0,273,55,38
"Arizona","Mohave",2020,358,349,8,1,0,0,0,116,34,18,0,0,0,25,333
"Arizona","Navajo",2020,366,317,47,2,0,0,0,136,54,43,0,0,360,3,3
"Arizona","Pima",2020,366,154,199,12,0,1,0,277,77,53,0,0,202,45,119
"Arizona","Pinal",2020,366,97,186,76,5,0,2,1124,119,72,0,0,143,36,187
"Arizona","Santa Cruz",2020,360,233,122,4,1,0,0,165,69,34,0,0,0,191,169
"Arizona","Yavapai",2020,331,265,65,1,0,0,0,119,61,45,0,0,331,0,0
"Arizona","Yuma",2020,366,257,106,2,0,0,1,321,69,44,0,0,235,70,61
"Arkansas","Arkansas",2020,119,108,11,0,0,0,0,82,50,27,0,0,0,119,0
"Arkansas","Ashley",2020,122,111,11,0,0,0,0,89,49,28,0,0,0,122,0
