Table 1
State,County,Studio,1 Bedroom,2 Bedroom,3 Bedroom,4 Bedroom
Alabama,Autauga,$ 640,$ 766,$ 908,"$ 1,148","$ 1,520"
Alabama,Baldwin,$ 718,$ 723,$ 922,"$ 1,249","$ 1,584"
Alabama,Barbour,$ 488,$ 492,$ 648,$ 806,$ 907
Alabama,Bibb,$ 817,$ 871,"$ 1,002","$ 1,303","$ 1,409"
Alabama,Blount,$ 817,$ 871,"$ 1,002","$ 1,303","$ 1,409"
Alabama,Bullock,$ 532,$ 549,$ 705,$ 877,"$ 1,034"
Alabama,Butler,$ 479,$ 556,$ 634,$ 789,$ 930
Alabama,Calhoun,$ 482,$ 549,$ 723,$ 944,"$ 1,094"
Alabama,Chambers,$ 534,$ 620,$ 744,$ 956,"$ 1,046"
Alabama,Cherokee,$ 479,$ 481,$ 634,$ 877,$ 880
Alabama,Chilton,$ 595,$ 625,$ 713,"$ 1,020","$ 1,061"
Alabama,Choctaw,$ 479,$ 481,$ 634,$ 789,$ 910
Alabama,Clarke,$ 479,$ 493,$ 634,$ 907,$ 930
Alabama,Clay,$ 479,$ 556,$ 634,$ 868,"$ 1,060"
Alabama,Cleburne,$ 479,$ 481,$ 634,$ 892,$ 968
Alabama,Coffee,$ 522,$ 551,$ 692,$ 990,"$ 1,184"
Alabama,Colbert,$ 525,$ 580,$ 748,$ 943,"$ 1,213"
Alabama,Conecuh,$ 479,$ 532,$ 634,$ 907,$ 930
Alabama,Coosa,$ 520,$ 523,$ 689,$ 857,"$ 1,011"
Alabama,Covington,$ 479,$ 499,$ 634,$ 846,"$ 1,044"
Alabama,Crenshaw,$ 479,$ 481,$ 634,$ 789,$ 930
Alabama,Cullman,$ 494,$ 541,$ 665,$ 898,$ 902
Alabama,Dale,$ 523,$ 526,$ 634,$ 890,"$ 1,098"
Alabama,Dallas,$ 492,$ 498,$ 646,$ 804,$ 876
Alabama,De Kalb,$ 418,$ 492,$ 634,$ 852,$ 936
Alabama,Elmore,$ 640,$ 766,$ 908,"$ 1,148","$ 1,520"
Alabama,Escambia,$ 479,$ 537,$ 634,$ 809,$ 991
Alabama,Etowah,$ 557,$ 560,$ 717,$ 902,"$ 1,002"
Alabama,Fayette,$ 479,$ 556,$ 634,$ 802,$ 930
Alabama,Franklin,$ 479,$ 539,$ 634,$ 796,"$ 1,043"
Alabama,Geneva,$ 543,$ 547,$ 706,$ 923,"$ 1,057"
Alabama,Greene,$ 479,$ 556,$ 634,$ 840,$ 860
Alabama,Hale,$ 691,$ 695,$ 839,"$ 1,061","$ 1,138"
Alabama,Henry,$ 492,$ 532,$ 634,$ 858,"$ 1,098"
Alabama,Houston,$ 543,$ 547,$ 706,$ 923,"$ 1,057"
Alabama,Jackson,$ 459,$ 574,$ 695,$ 864,"$ 1,020"
Alabama,Jefferson,$ 817,$ 871,"$ 1,002","$ 1,303","$ 1,409"
Alabama,Lamar,$ 479,$ 545,$ 634,$ 857,$ 860
Alabama,Lauderdale,$ 525,$ 580,$ 748,$ 943,"$ 1,213"
Alabama,Lawrence,$ 509,$ 574,$ 708,$ 925,$ 960
Alabama,Lee,$ 590,$ 625,$ 824,"$ 1,078","$ 1,227"
Alabama,Limestone,$ 589,$ 690,$ 821,"$ 1,089","$ 1,387"
Alabama,Lowndes,$ 640,$ 766,$ 908,"$ 1,148","$ 1,520"
Alabama,Macon,$ 501,$ 504,$ 664,$ 826,"$ 1,150"
Alabama,Madison,$ 589,$ 690,$ 821,"$ 1,089","$ 1,387"
Alabama,Marengo,$ 479,$ 556,$ 634,$ 876,"$ 1,098"
Alabama,Marion,$ 479,$ 481,$ 634,$ 857,"$ 1,098"
Alabama,Marshall,$ 503,$ 506,$ 660,$ 880,$ 895
Alabama,Mobile,$ 642,$ 658,$ 824,"$ 1,097","$ 1,212"
Alabama,Monroe,$ 479,$ 556,$ 634,$ 789,$ 925
Alabama,Montgomery,$ 640,$ 766,$ 908,"$ 1,148","$ 1,520"
Alabama,Morgan,$ 509,$ 574,$ 708,$ 925,$ 960
Alabama,Perry,$ 479,$ 556,$ 634,$ 789,$ 942
Alabama,Pickens,$ 490,$ 493,$ 634,$ 857,$ 860
Alabama,Pike,$ 510,$ 576,$ 675,$ 885,$ 990
Alabama,Randolph,$ 479,$ 556,$ 634,$ 857,$ 860
Alabama,Russell,$ 644,$ 717,$ 832,"$ 1,118","$ 1,441"
Alabama,St Clair,$ 817,$ 871,"$ 1,002","$ 1,303","$ 1,409"
Alabama,Shelby,$ 817,$ 871,"$ 1,002","$ 1,303","$ 1,409"
Alabama,Sumter,$ 585,$ 603,$ 775,$ 964,"$ 1,051"
Alabama,Talladega,$ 510,$ 512,$ 675,$ 880,$ 988
Alabama,Tallapoosa,$ 481,$ 504,$ 634,$ 891,"$ 1,077"
Alabama,Tuscaloosa,$ 691,$ 695,$ 839,"$ 1,061","$ 1,138"
Alabama,Walker,$ 546,$ 549,$ 724,$ 901,$ 982
Alabama,Washington,$ 489,$ 504,$ 648,$ 852,$ 951
Alabama,Wilcox,$ 479,$ 487,$ 634,$ 789,$ 930
Alabama,Winston,$ 479,$ 481,$ 634,$ 907,$ 909
Alaska,Aleutians East,$ 783,$ 853,"$ 1,115","$ 1,387","$ 1,512"
Alaska,Aleutians West,"$ 1,052","$ 1,210","$ 1,595","$ 1,984","$ 2,384"
Alaska,Anchorage,$ 877,$ 926,"$ 1,220","$ 1,746","$ 2,112"
Alaska,Bethel,"$ 1,146","$ 1,407","$ 1,614","$ 2,008","$ 2,189"
Alaska,Bristol Bay,$ 760,$ 859,"$ 1,082","$ 1,460","$ 1,552"
Alaska,Denali,"$ 1,020","$ 1,111","$ 1,453","$ 1,807","$ 2,171"
Alaska,Dillingham,$ 897,"$ 1,047","$ 1,277","$ 1,704","$ 1,732"
Alaska,Fairbanks North Star,$ 858,$ 987,"$ 1,301","$ 1,862","$ 2,253"
Alaska,Haines,$ 694,$ 756,$ 989,"$ 1,312","$ 1,478"
Alaska,Juneau,$ 932,"$ 1,124","$ 1,413","$ 2,022","$ 2,446"
Alaska,Kenai Peninsula,$ 814,$ 817,"$ 1,077","$ 1,494","$ 1,624"
Alaska,Ketchikan Gateway,$ 893,"$ 1,027","$ 1,353","$ 1,801","$ 2,326"
Alaska,Kodiak Island,$ 969,"$ 1,115","$ 1,469","$ 1,860","$ 2,176"
Alaska,Lake and Peninsula,$ 580,$ 654,$ 826,"$ 1,112","$ 1,433"
Alaska,Matanuska-Susitna,$ 733,$ 775,"$ 1,020","$ 1,460","$ 1,766"
Alaska,Nome,"$ 1,193","$ 1,259","$ 1,534","$ 1,970","$ 2,080"
Alaska,North Slope,"$ 1,070","$ 1,077","$ 1,419","$ 1,765","$ 1,924"
Alaska,Northwest Arctic,"$ 1,115","$ 1,122","$ 1,385","$ 1,871","$ 1,878"
Alaska,Prince of Wales-Outer Ketchikan,$ 735,$ 771,"$ 1,016","$ 1,264","$ 1,378"
Alaska,Sitka,$ 862,"$ 1,008","$ 1,179","$ 1,667","$ 2,010"
Alaska,Southeast Fairbanks,$ 929,$ 992,"$ 1,210","$ 1,732","$ 1,808"
Alaska,Valdez-Cordova,$ 740,$ 983,"$ 1,121","$ 1,394","$ 1,675"
Alaska,Wrangell-Petersburg,$ 688,$ 690,$ 910,"$ 1,229","$ 1,360"
Alaska,Yakutat,$ 817,$ 882,"$ 1,163","$ 1,447","$ 1,738"
Alaska,Yukon-Koyukuk,$ 553,$ 691,$ 788,"$ 1,128","$ 1,364"
Arizona,Apache,$ 534,$ 596,$ 785,"$ 1,025","$ 1,101"
Arizona,Cochise,$ 663,$ 667,$ 874,"$ 1,251","$ 1,513"
Arizona,Coconino,"$ 1,026","$ 1,062","$ 1,315","$ 1,712","$ 2,058"
Arizona,Gila,$ 723,$ 728,$ 959,"$ 1,296","$ 1,300"
Arizona,Graham,$ 722,$ 771,$ 898,"$ 1,285","$ 1,417"
Arizona,Greenlee,$ 510,$ 661,$ 754,"$ 1,014","$ 1,124"
Arizona,La Paz,$ 643,$ 722,$ 952,"$ 1,292","$ 1,334"
Arizona,Maricopa,$ 933,"$ 1,032","$ 1,251","$ 1,765","$ 2,010"
Arizona,Mohave,$ 645,$ 725,$ 905,"$ 1,295","$ 1,427"
Arizona,Navajo,$ 587,$ 670,$ 883,"$ 1,187","$ 1,225"
Arizona,Pima,$ 633,$ 728,$ 959,"$ 1,372","$ 1,627"
Arizona,Pinal,$ 933,"$ 1,032","$ 1,251","$ 1,765","$ 2,010"
Arizona,Santa Cruz,$ 557,$ 598,$ 788,"$ 1,065","$ 1,069"
Arizona,Yavapai,$ 698,$ 822,"$ 1,051","$ 1,458","$ 1,583"
Arizona,Yuma,$ 665,$ 705,$ 927,"$ 1,321","$ 1,605"
,,,,,,
Arkansas,Arkansas,$ 506,$ 524,$ 691,$ 874,$ 943
Arkansas,Ashley,$ 479,$ 563,$ 654,$ 866,$ 890
Arkansas,Baxter,$ 505,$ 562,$ 721,$ 897,$ 978
Arkansas,Benton,$ 579,$ 618,$ 780,"$ 1,116","$ 1,350"
Arkansas,Boone,$ 479,$ 548,$ 654,$ 912,$ 915
Arkansas,Bradley,$ 479,$ 520,$ 654,$ 844,"$ 1,132"
Arkansas,Calhoun,$ 538,$ 558,$ 735,$ 914,"$ 1,059"
Arkansas,Carroll,$ 437,$ 509,$ 663,$ 825,$ 899
Arkansas,Chicot,$ 479,$ 574,$ 654,$ 900,"$ 1,060"
Arkansas,Clark,$ 442,$ 565,$ 658,$ 876,"$ 1,028"
Arkansas,Clay,$ 493,$ 496,$ 654,$ 826,"$ 1,132"
Arkansas,Cleburne,$ 514,$ 533,$ 703,$ 901,$ 953
Arkansas,Cleveland,$ 542,$ 553,$ 729,$ 919,"$ 1,091"
Arkansas,Columbia,$ 493,$ 496,$ 654,$ 868,"$ 1,015"
Arkansas,Conway,$ 477,$ 496,$ 654,$ 892,"$ 1,021"
Arkansas,Craighead,$ 535,$ 631,$ 811,"$ 1,077","$ 1,323"
Arkansas,Crawford,$ 551,$ 552,$ 728,"$ 1,011","$ 1,177"
Arkansas,Crittenden,$ 686,$ 784,$ 911,"$ 1,228","$ 1,412"
Arkansas,Cross,$ 522,$ 541,$ 713,$ 925,"$ 1,118"
Arkansas,Dallas,$ 479,$ 496,$ 654,$ 936,$ 943
Arkansas,Desha,$ 479,$ 496,$ 654,$ 881,"$ 1,060"
Arkansas,Drew,$ 479,$ 496,$ 654,$ 857,$ 943
Arkansas,Faulkner,$ 702,$ 735,$ 849,"$ 1,140","$ 1,339"
Arkansas,Franklin,$ 481,$ 576,$ 657,$ 821,$ 947
Arkansas,Fulton,$ 479,$ 496,$ 654,$ 883,"$ 1,102"
Arkansas,Garland,$ 569,$ 606,$ 799,"$ 1,005","$ 1,302"
Arkansas,Grant,$ 619,$ 648,$ 747,$ 929,"$ 1,031"
Arkansas,Greene,$ 508,$ 609,$ 694,$ 993,"$ 1,117"
Arkansas,Hempstead,$ 499,$ 517,$ 682,$ 848,"$ 1,045"
Arkansas,Hot Spring,$ 490,$ 531,$ 670,$ 887,"$ 1,103"
Arkansas,Howard,$ 474,$ 549,$ 654,$ 850,$ 966
Arkansas,Independence,$ 486,$ 504,$ 664,$ 826,$ 900
Arkansas,Izard,$ 431,$ 496,$ 654,$ 830,$ 887
Arkansas,Jackson,$ 496,$ 496,$ 654,$ 813,$ 959
Arkansas,Jefferson,$ 542,$ 553,$ 729,$ 919,"$ 1,091"
Arkansas,Johnson,$ 492,$ 510,$ 672,$ 878,$ 960
Arkansas,Lafayette,$ 479,$ 496,$ 654,$ 852,$ 943
Arkansas,Lawrence,$ 479,$ 496,$ 654,$ 864,"$ 1,029"
Arkansas,Lee,$ 479,$ 496,$ 654,$ 936,$ 943
Arkansas,Lincoln,$ 542,$ 553,$ 729,$ 919,"$ 1,091"
Arkansas,Little River,$ 493,$ 496,$ 654,$ 936,"$ 1,132"
Arkansas,Logan,$ 431,$ 558,$ 654,$ 856,$ 887
Arkansas,Lonoke,$ 702,$ 735,$ 849,"$ 1,140","$ 1,339"
Arkansas,Madison,$ 579,$ 618,$ 780,"$ 1,116","$ 1,350"
Arkansas,Marion,$ 431,$ 505,$ 654,$ 813,"$ 1,018"
Arkansas,Miller,$ 647,$ 658,$ 826,"$ 1,030","$ 1,322"
Arkansas,Mississippi,$ 466,$ 502,$ 654,$ 836,$ 887
Arkansas,Monroe,$ 479,$ 509,$ 654,$ 888,$ 924
Arkansas,Montgomery,$ 479,$ 542,$ 654,$ 896,"$ 1,132"
Arkansas,Nevada,$ 579,$ 601,$ 792,$ 985,"$ 1,142"
Arkansas,Newton,$ 479,$ 496,$ 654,$ 935,$ 943
Arkansas,Ouachita,$ 551,$ 574,$ 654,$ 884,$ 887
Arkansas,Perry,$ 702,$ 735,$ 849,"$ 1,140","$ 1,339"
Arkansas,Phillips,$ 431,$ 496,$ 654,$ 936,"$ 1,132"
Arkansas,Pike,$ 561,$ 574,$ 654,$ 854,"$ 1,082"
Arkansas,Poinsett,$ 493,$ 496,$ 654,$ 816,$ 946
Arkansas,Polk,$ 431,$ 525,$ 654,$ 813,"$ 1,130"
Arkansas,Pope,$ 487,$ 519,$ 684,$ 969,"$ 1,024"
Arkansas,Prairie,$ 479,$ 496,$ 654,$ 813,$ 943
Arkansas,Pulaski,$ 702,$ 735,$ 849,"$ 1,140","$ 1,339"
Arkansas,Randolph,$ 493,$ 496,$ 654,$ 864,$ 905
Arkansas,St Francis,$ 493,$ 496,$ 654,$ 936,"$ 1,060"
Arkansas,Saline,$ 702,$ 735,$ 849,"$ 1,140","$ 1,339"
Arkansas,Scott,$ 479,$ 496,$ 654,$ 813,$ 943
Arkansas,Searcy,$ 479,$ 508,$ 654,$ 854,$ 943
Arkansas,Sebastian,$ 551,$ 552,$ 728,"$ 1,011","$ 1,177"
Arkansas,Sevier,$ 479,$ 574,$ 654,$ 828,$ 943
Arkansas,Sharp,$ 431,$ 506,$ 654,$ 832,$ 981
Arkansas,Stone,$ 479,$ 496,$ 654,$ 838,$ 943
Arkansas,Union,$ 575,$ 589,$ 671,$ 960,"$ 1,116"
Arkansas,Van Buren,$ 512,$ 531,$ 700,$ 871,$ 949
Arkansas,Washington,$ 579,$ 618,$ 780,"$ 1,116","$ 1,350"
Arkansas,White,$ 462,$ 552,$ 700,$ 960,"$ 1,212"
Arkansas,Woodruff,$ 479,$ 496,$ 654,$ 813,$ 887
Arkansas,Yell,$ 481,$ 546,$ 654,$ 852,"$ 1,043"
California,Alameda,"$ 1,595","$ 1,934","$ 2,383","$ 3,196","$ 3,863"
California,Alpine,$ 723,$ 819,"$ 1,068","$ 1,528","$ 1,695"
California,Amador,$ 880,$ 886,"$ 1,149","$ 1,644","$ 1,980"
California,Butte,$ 825,$ 904,"$ 1,192","$ 1,692","$ 2,064"
California,Calaveras,$ 718,$ 837,"$ 1,061","$ 1,518","$ 1,837"
California,Colusa,$ 654,$ 733,$ 966,"$ 1,382","$ 1,673"
California,Contra Costa,"$ 1,595","$ 1,934","$ 2,383","$ 3,196","$ 3,863"
California,Del Norte,$ 677,$ 827,"$ 1,000","$ 1,387","$ 1,702"
