"","Domain.Code","Domain","Area.Code","Area","Element.Code","Element","Item.Code","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Total_production","Percentage_of_average"
"1","QA","Live Animals",2,"Afghanistan",5111,"Stocks",1107,"Asses",2015,2015,"Head",1481000,"","Official data",28050500,36.96
"2","QA","Live Animals",2,"Afghanistan",5111,"Stocks",1126,"Camels",2015,2015,"Head",170000,"","Official data",28050500,4.24
"3","QA","Live Animals",2,"Afghanistan",5111,"Stocks",866,"Cattle",2015,2015,"Head",5261000,"","Official data",28050500,131.29
"4","QA","Live Animals",2,"Afghanistan",5111,"Stocks",1016,"Goats",2015,2015,"Head",7723000,"","Official data",28050500,192.73
"5","QA","Live Animals",2,"Afghanistan",5111,"Stocks",1096,"Horses",2015,2015,"Head",173000,"","Official data",28050500,4.32
"6","QA","Live Animals",2,"Afghanistan",5111,"Stocks",1110,"Mules",2015,2015,"Head",24500,"","Official data",28050500,0.61
"7","QA","Live Animals",2,"Afghanistan",5111,"Stocks",976,"Sheep",2015,2015,"Head",13218000,"","Official data",28050500,329.86
"8","QA","Live Animals",3,"Albania",5111,"Stocks",1107,"Asses",2015,2015,"Head",60000,"*","Unofficial figure",NA,NA
"9","QA","Live Animals",3,"Albania",5111,"Stocks",946,"Buffaloes",2015,2015,"Head",108,"Im","FAO data based on imputation methodology",NA,NA
"10","QA","Live Animals",3,"Albania",5111,"Stocks",866,"Cattle",2015,2015,"Head",504200,"","Official data",NA,NA
"11","QA","Live Animals",3,"Albania",5111,"Stocks",1016,"Goats",2015,2015,"Head",932000,"","Official data",NA,NA
"12","QA","Live Animals",3,"Albania",5111,"Stocks",1096,"Horses",2015,2015,"Head",31000,"","Official data",NA,NA
"13","QA","Live Animals",3,"Albania",5111,"Stocks",1110,"Mules",2015,2015,"Head",NA,"M","Data not available",NA,NA
"14","QA","Live Animals",3,"Albania",5111,"Stocks",1034,"Pigs",2015,2015,"Head",171400,"","Official data",NA,NA
"15","QA","Live Animals",3,"Albania",5111,"Stocks",976,"Sheep",2015,2015,"Head",1918000,"","Official data",NA,NA
"16","QA","Live Animals",4,"Algeria",5111,"Stocks",1107,"Asses",2015,2015,"Head",122106,"","Official data",35827915,2.73
"17","QA","Live Animals",4,"Algeria",5111,"Stocks",1126,"Camels",2015,2015,"Head",362265,"","Official data",35827915,8.09
"18","QA","Live Animals",4,"Algeria",5111,"Stocks",866,"Cattle",2015,2015,"Head",2149549,"","Official data",35827915,48
"19","QA","Live Animals",4,"Algeria",5111,"Stocks",1016,"Goats",2015,2015,"Head",5013950,"","Official data",35827915,111.96
"20","QA","Live Animals",4,"Algeria",5111,"Stocks",1096,"Horses",2015,2015,"Head",42366,"","Official data",35827915,0.95
"21","QA","Live Animals",4,"Algeria",5111,"Stocks",1110,"Mules",2015,2015,"Head",20913,"","Official data",35827915,0.47
"22","QA","Live Animals",4,"Algeria",5111,"Stocks",1034,"Pigs",2015,2015,"Head",4993,"Im","FAO data based on imputation methodology",35827915,0.11
"23","QA","Live Animals",4,"Algeria",5111,"Stocks",976,"Sheep",2015,2015,"Head",28111773,"","Official data",35827915,627.71
"24","QA","Live Animals",5,"American Samoa",5111,"Stocks",866,"Cattle",2015,2015,"Head",110,"Im","FAO data based on imputation methodology",10610,2.07
"25","QA","Live Animals",5,"American Samoa",5111,"Stocks",1034,"Pigs",2015,2015,"Head",10500,"Im","FAO data based on imputation methodology",10610,197.93
"26","QA","Live Animals",7,"Angola",5111,"Stocks",1107,"Asses",2015,2015,"Head",4500,"Im","FAO data based on imputation methodology",13112221,0.21
"27","QA","Live Animals",7,"Angola",5111,"Stocks",866,"Cattle",2015,2015,"Head",4987725,"Im","FAO data based on imputation methodology",13112221,228.23
"28","QA","Live Animals",7,"Angola",5111,"Stocks",1016,"Goats",2015,2015,"Head",4386162,"Im","FAO data based on imputation methodology",13112221,200.71
"29","QA","Live Animals",7,"Angola",5111,"Stocks",1096,"Horses",2015,2015,"Head",1004,"Im","FAO data based on imputation methodology",13112221,0.05
"30","QA","Live Animals",7,"Angola",5111,"Stocks",1034,"Pigs",2015,2015,"Head",2611962,"Im","FAO data based on imputation methodology",13112221,119.52
"31","QA","Live Animals",7,"Angola",5111,"Stocks",976,"Sheep",2015,2015,"Head",1120868,"Im","FAO data based on imputation methodology",13112221,51.29
"32","QA","Live Animals",8,"Antigua and Barbuda",5111,"Stocks",1107,"Asses",2015,2015,"Head",1704,"Im","FAO data based on imputation methodology",53311,19.18
