Town,Year,Call Reason,Action,Count
Leverett,2018,209A SERVICE,Negative Contact,3
Leverett,2018,209A VIOLATION,Report Taken,1
Leverett,2018,ABANDONED 911 CALL,CONFIRMED MIS-DIAL,3
Leverett,2018,ABANDONED 911 CALL,Investigated,1
Leverett,2018,ABANDONED 911 CALL,Negative Contact,1
Leverett,2018,ABANDONED 911 CALL,NOBODY HOME,1
Leverett,2018,911 CALL,ACCIDENTAL,1
Leverett,2018,911 CALL,CONFIRMED MIS-DIAL,2
Leverett,2018,911 CALL,Call Given to an Officer,1
Leverett,2018,911 CALL,Dispatch Handled,2
Leverett,2018,911 CALL,FRANKLIN MEDICAL CENTER,1
Leverett,2018,911 CALL,Investigated,3
Leverett,2018,911 CALL,No Action Required,2
Leverett,2018,911 CALL,Taken/Referred to Other Agency,1
Leverett,2018,911 CALL,TRANSFERRED TO STATE POLICE,4
Leverett,2018,911 HANG UP,ACCIDENTAL,1
Leverett,2018,911 HANG UP,CONFIRMED MIS-DIAL,2
Leverett,2018,911 MIS DIAL,CONFIRMED MIS-DIAL,3
Leverett,2018,911 MIS DIAL,Call Given to an Officer,2
Leverett,2018,911 MIS DIAL,TRANSFERRED TO STATE POLICE,1
Leverett,2018,ABANDONED MV,Investigated,1
Leverett,2018,ABANDONED MV,TRANSFERRED TO STATE POLICE,1
Leverett,2018,ADMINISTRATIVE,No Action Required,35
Leverett,2018,ADMINISTRATIVE,Report Taken,1
Leverett,2018,ADMINISTRATIVE,Services Rendered,17
Leverett,2018,ALARM BURGLAR OR HOLDUP,Building Checked/Secured,13
Leverett,2018,ALARM BURGLAR OR HOLDUP,Call Cancelled,13
Leverett,2018,ALARM BURGLAR OR HOLDUP,Checks Okay,1
Leverett,2018,ALARM BURGLAR OR HOLDUP,CONFIRMED MIS-DIAL,1
Leverett,2018,ALARM BURGLAR OR HOLDUP,False Alarm,5
Leverett,2018,ALARM BURGLAR OR HOLDUP,Faxed to Station,1
Leverett,2018,ALARM BURGLAR OR HOLDUP,Investigated,4
Leverett,2018,ALARM BURGLAR OR HOLDUP,Taken to Family/Guardian/Other,1
Leverett,2018,ALARM BURGLAR OR HOLDUP,TRANSFERRED TO STATE POLICE,14
Leverett,2018,EMS ALARM - LIFELINE ACTIVATED,COOLEY DICKINSON HOSPITAL,4
Leverett,2018,EMS ALARM - LIFELINE ACTIVATED,No Transport/Patient Refusal,3
Leverett,2018,EMS ALARM - LIFELINE ACTIVATED,Services Rendered,2
Leverett,2018,FIRE ALARM,Building Checked/Secured,1
Leverett,2018,FIRE ALARM,Call Cancelled,2
Leverett,2018,FIRE ALARM,False Alarm,2
Leverett,2018,FIRE ALARM,Investigated,7
Leverett,2018,FIRE ALARM,No Action Required,1
Leverett,2018,FIRE ALARM,Services Rendered,3
Leverett,2018,ANIMAL COMPLAINT,ACCIDENTAL,1
Leverett,2018,ANIMAL COMPLAINT,Could Not Locate,1
Leverett,2018,ANIMAL COMPLAINT,Dispatch Handled,1
Leverett,2018,ANIMAL COMPLAINT,Referred to Animal Control,2
Leverett,2018,ANIMAL COMPLAINT,Gone on Arrival,1
Leverett,2018,ANIMAL COMPLAINT,Investigated,4
Leverett,2018,ANIMAL COMPLAINT,Taken/Referred to Other Agency,4
Leverett,2018,ANIMAL COMPLAINT,Report Taken,2
Leverett,2018,ANIMAL COMPLAINT,Peace Restored,1
Leverett,2018,ANIMAL COMPLAINT,Services Rendered,10
Leverett,2018,ANIMAL COMPLAINT,Taken to Family/Guardian/Other,1
Leverett,2018,ANIMAL COMPLAINT,TRANSFERRED TO STATE POLICE,4
Leverett,2018,ANIMAL COMPLAINT,Unfounded,1
Leverett,2018,ASSIST CITIZEN,Investigated,1
Leverett,2018,ASSIST CITIZEN,No Action Required,1
Leverett,2018,ASSIST CITIZEN,Report Taken,2
Leverett,2018,ASSIST CITIZEN,Services Rendered,1
Leverett,2018,ASSIST OTHER AGENCY,Investigated,1
Leverett,2018,ASSIST OTHER AGENCY,Services Rendered,7
Leverett,2018,ASSIST OTHER AGENCY,TRANSFERRED TO STATE POLICE,1
Leverett,2018,ASSAULT,Arrest(s) Made,1
Leverett,2018,ARTICLES RECOVERED,Call Given to an Officer,1
Leverett,2018,ARTICLES RECOVERED,Faxed to Station,1
Leverett,2018,ARTICLES RECOVERED,Negative Contact,1
Leverett,2018,ARTICLES RECOVERED,Notification,1
Leverett,2018,ARTICLES RECOVERED,Taken/Referred to Other Agency,1
Leverett,2018,ARTICLES RECOVERED,Services Rendered,1
