"town","year","call_reason","self","disp","avg_hours_per_call","totalCalls","totalHours"
"Leverett",2018-01-01,"209A SERVICE",2,1,0.187666666666667,3,0.563
"Leverett",2018-01-01,"209A VIOLATION",0,1,0.731,1,0.731
"Leverett",2018-01-01,"ABANDONED 911 CALL",0,6,0.213666666666667,6,1.282
"Leverett",2018-01-01,"911 CALL",0,17,0.225333333333333,17,3.83066666666667
"Leverett",2018-01-01,"911 HANG UP",0,3,0.186333333333333,3,0.559
"Leverett",2018-01-01,"911 MIS DIAL",0,6,0.287666666666667,6,1.726
"Leverett",2018-01-01,"ABANDONED MV",1,1,0.0458333333333333,2,0.0916666666666667
"Leverett",2018-01-01,"ADMINISTRATIVE",51,2,0.932,53,49.396
"Leverett",2018-01-01,"ALARM BURGLAR OR HOLDUP",3,50,0.280666666666667,53,14.8753333333333
"Leverett",2018-01-01,"EMS ALARM - LIFELINE ACTIVATED",0,9,0.312833333333333,9,2.8155
"Leverett",2018-01-01,"FIRE ALARM",0,16,0.464,16,7.424
"Leverett",2018-01-01,"ANIMAL COMPLAINT",2,31,0.321333333333333,33,10.604
"Leverett",2018-01-01,"ASSIST CITIZEN",4,1,1.055,5,5.275
"Leverett",2018-01-01,"ASSIST OTHER AGENCY",7,2,0.802666666666667,9,7.224
"Leverett",2018-01-01,"ASSAULT",0,1,2.56383333333333,1,2.56383333333333
"Leverett",2018-01-01,"ARTICLES RECOVERED",0,6,0.1225,6,0.735
"Leverett",2018-01-01,"BREAKING & ENTERING AUTO",0,1,0,1,0
"Leverett",2018-01-01,"BREAKING AND ENTERING",0,1,0.308166666666667,1,0.308166666666667
"Leverett",2018-01-01,"BREAKING & ENTERING PAST",1,2,0.601666666666667,3,1.805
"Leverett",2018-01-01,"BE ON THE LOOK OUT",0,1,0.104333333333333,1,0.104333333333333
"Leverett",2018-01-01,"BUILDING/LOCATION CHECK",136,5,0.2975,141,41.9475
"Leverett",2018-01-01,"CHIMNEY FIRE",0,4,0.726666666666667,4,2.90666666666667
"Leverett",2018-01-01,"CHECK WELFARE",3,11,0.3405,14,4.767
"Leverett",2018-01-01,"Civil Issue",1,0,0.0121666666666667,1,0.0121666666666667
"Leverett",2018-01-01,"CRUISER MAINTENANCE",15,0,0.599666666666667,15,8.995
"Leverett",2018-01-01,"CARBON MONOXIDE HAZARD",0,5,0.417833333333333,5,2.08916666666667
"Leverett",2018-01-01,"COMMUNITY POLICING",18,0,0.785666666666667,18,14.142
"Leverett",2018-01-01,"COMPLAINT",1,2,0.567166666666667,3,1.7015
"Leverett",2018-01-01,"COURT",2,0,1.15016666666667,2,2.30033333333333
"Leverett",2018-01-01,"Car vs. Deer",0,5,0.739333333333333,5,3.69666666666667
"Leverett",2018-01-01,"DISTURBANCE",0,2,1.1275,2,2.255
"Leverett",2018-01-01,"DISABLED MV",19,10,0.441333333333333,29,12.7986666666667
"Leverett",2018-01-01,"Drill/Testing",4,0,1.19833333333333,4,4.79333333333333
"Leverett",2018-01-01,"ESCORT/TRANSPORT",1,0,0.386333333333333,1,0.386333333333333
