id,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,Q1_a,Q1_b,Q1_c,Q1_d,Q1_e,Q1_f,Q2,Q3,Q4,Q5,QPID,ABCAGE,Contact,weights_pid
7230001,English,qualified,68,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Not so concerned,Yes,Good,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.6382
7230002,English,qualified,85,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Kentucky,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Good,Optimistic,An Independent,65+,"No, I am not willing to be interviewed",.5493
7230003,English,qualified,69,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Very concerned,Yes,Poor,Pessimistic,Something else,65+,"No, I am not willing to be interviewed",.8488
7230004,English,qualified,74,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Divorced,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Excellent,Pessimistic,An Independent,65+,"Yes, I am willing to be interviewed",.8126
7230005,English,qualified,77,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",3,"$10,000 to $24,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Somewhat concerned,Yes,Excellent,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.4994
7230006,English,qualified,70,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Missouri,Employed part-time (by someone else),Working part-time,Approve,Approve,Approve,Approve,Disapprove,Approve,Not so concerned,Yes,Excellent,Optimistic,A Democrat,65+,"No, I am not willing to be interviewed",.4043
7230007,English,qualified,26,Master’s degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",3,"$150,000 or more",Never married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Employed full-time (by someone else),Working full-time,Approve,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Somewhat concerned,Yes,Not so good,Pessimistic,A Democrat,18-29,"Yes, I am willing to be interviewed",.9159
7230008,English,qualified,76,Bachelor’s degree,Bachelors degree or higher,Male,"Black, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Retired,Not working,Approve,Approve,Approve,Approve,Approve,Approve,Very concerned,Yes,Good,Pessimistic,A Democrat,65+,"Yes, I am willing to be interviewed",1.335
7230009,English,qualified,78,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro area,West,Owned or being bought by you or someone in your household,Washington,Homemaker,Not working,Approve,Approve,Approve,Disapprove,Approve,Disapprove,Somewhat concerned,Yes,Excellent,Optimistic,An Independent,65+,"Yes, I am willing to be interviewed",.6686
7230010,English,qualified,47,Master’s degree or above,Bachelors degree or higher,Male,"Other, Non-Hispanic",4,"$150,000 or more",Now Married,Non-metro area,NorthEast,Owned or being bought by you or someone in your household,New Hampshire,Employed full-time (by someone else),Working full-time,Disapprove,Disapprove,Disapprove,Disapprove,Disapprove,Approve,Very concerned,Yes,Good,Pessimistic,An Independent,30-49,"Yes, I am willing to be interviewed",.7541
