territory,resp,count,percent
New South Wales,yes,2374362,57.8
New South Wales,no,1736838,42.2
Victoria,yes,2145629,64.9
Victoria,no,1161098,35.1
Queensland,yes,1487060,60.7
Queensland,no,961015,39.3
South Australia,yes,592528,62.5
South Australia,no,356247,37.5
Western Australia,yes,801575,63.7
Western Australia,no,455924,36.3
Tasmania,yes,191948,63.6
Tasmania,no,109655,36.4
Northern Territory(b),yes,48686,60.6
Northern Territory(b),no,31690,39.4
Australian Capital Territory(c),yes,175459,74
Australian Capital Territory(c),no,61520,26
