Product,Year,Month,Price_Dollar
Whole,2013,January,2.385
Whole,2013,February,2.385
Whole,2013,March,2.385
Whole,2013,April,2.385
Whole,2013,May,2.385
Whole,2013,June,2.385
Whole,2013,July,2.385
Whole,2013,August,2.385
Whole,2013,September,2.385
Whole,2013,October,2.385
Whole,2013,November,2.385
Whole,2013,December,2.385
B/S Breast,2013,January,7.0375
B/S Breast,2013,February,7.0375
B/S Breast,2013,March,7.0375
B/S Breast,2013,April,7.0375
B/S Breast,2013,May,7.0375
B/S Breast,2013,June,7.0375
B/S Breast,2013,July,7.0375
B/S Breast,2013,August,7.0375
B/S Breast,2013,September,7.0375
B/S Breast,2013,October,7.0375
B/S Breast,2013,November,7.0375
B/S Breast,2013,December,7.0375
Bone-in Breast,2013,January,3.905
Bone-in Breast,2013,February,3.905
Bone-in Breast,2013,March,3.905
Bone-in Breast,2013,April,3.905
Bone-in Breast,2013,May,3.905
Bone-in Breast,2013,June,3.905
Bone-in Breast,2013,July,3.905
Bone-in Breast,2013,August,3.905
Bone-in Breast,2013,September,3.905
Bone-in Breast,2013,October,3.905
Bone-in Breast,2013,November,3.905
Bone-in Breast,2013,December,3.905
Whole Legs,2013,January,2.035
Whole Legs,2013,February,2.035
Whole Legs,2013,March,2.035
Whole Legs,2013,April,2.035
Whole Legs,2013,May,2.035
Whole Legs,2013,June,2.035
Whole Legs,2013,July,2.035
Whole Legs,2013,August,2.035
Whole Legs,2013,September,2.035
Whole Legs,2013,October,2.035
Whole Legs,2013,November,2.035
Whole Legs,2013,December,2.035
Thighs,2013,January,2.1625
Thighs,2013,February,2.1625
Thighs,2013,March,2.1625
Thighs,2013,April,2.1625
Thighs,2013,May,2.1625
Thighs,2013,June,2.1625
Thighs,2013,July,2.1625
Thighs,2013,August,2.1625
Thighs,2013,September,2.1625
Thighs,2013,October,2.1625
Thighs,2013,November,2.1625
Thighs,2013,December,2.1625
Whole,2012,January,2.35
Whole,2012,February,2.385
Whole,2012,March,2.385
Whole,2012,April,2.385
Whole,2012,May,2.385
Whole,2012,June,2.385
Whole,2012,July,2.385
Whole,2012,August,2.385
Whole,2012,September,2.385
Whole,2012,October,2.385
Whole,2012,November,2.385
Whole,2012,December,2.385
B/S Breast,2012,January,6.375
B/S Breast,2012,February,7
B/S Breast,2012,March,7
B/S Breast,2012,April,7
B/S Breast,2012,May,7
B/S Breast,2012,June,7
B/S Breast,2012,July,7
B/S Breast,2012,August,7
B/S Breast,2012,September,7
B/S Breast,2012,October,7
B/S Breast,2012,November,7.0375
B/S Breast,2012,December,7.0375
Bone-in Breast,2012,January,3.905
Bone-in Breast,2012,February,3.905
Bone-in Breast,2012,March,3.905
Bone-in Breast,2012,April,3.905
Bone-in Breast,2012,May,3.905
Bone-in Breast,2012,June,3.905
Bone-in Breast,2012,July,3.905
Bone-in Breast,2012,August,3.905
Bone-in Breast,2012,September,3.905
Bone-in Breast,2012,October,3.905
Bone-in Breast,2012,November,3.905
Bone-in Breast,2012,December,3.905
Whole Legs,2012,January,2.035
Whole Legs,2012,February,2.035
Whole Legs,2012,March,2.035
Whole Legs,2012,April,2.035
Whole Legs,2012,May,2.035
Whole Legs,2012,June,2.035
Whole Legs,2012,July,2.035
Whole Legs,2012,August,2.035
Whole Legs,2012,September,2.035
Whole Legs,2012,October,2.035
Whole Legs,2012,November,2.035
Whole Legs,2012,December,2.035
Thighs,2012,January,2.15
Thighs,2012,February,2.15
Thighs,2012,March,2.15
Thighs,2012,April,2.15
Thighs,2012,May,2.15
Thighs,2012,June,2.15
Thighs,2012,July,2.15
Thighs,2012,August,2.1625
Thighs,2012,September,2.1625
Thighs,2012,October,2.1625
Thighs,2012,November,2.1625
Thighs,2012,December,2.1625
Whole,2011,January,2.35
Whole,2011,February,2.35
Whole,2011,March,2.35
Whole,2011,April,2.35
Whole,2011,May,2.35
Whole,2011,June,2.35
Whole,2011,July,2.35
Whole,2011,August,2.35
Whole,2011,September,2.35
Whole,2011,October,2.35
Whole,2011,November,2.35
Whole,2011,December,2.35
B/S Breast,2011,January,6.375
B/S Breast,2011,February,6.375
B/S Breast,2011,March,6.375
B/S Breast,2011,April,6.375
B/S Breast,2011,May,6.375
B/S Breast,2011,June,6.375
B/S Breast,2011,July,6.375
B/S Breast,2011,August,6.375
B/S Breast,2011,September,6.375
B/S Breast,2011,October,6.375
B/S Breast,2011,November,6.375
B/S Breast,2011,December,6.375
Bone-in Breast,2011,January,3.905
Bone-in Breast,2011,February,3.905
Bone-in Breast,2011,March,3.905
Bone-in Breast,2011,April,3.905
Bone-in Breast,2011,May,3.905
Bone-in Breast,2011,June,3.905
Bone-in Breast,2011,July,3.905
Bone-in Breast,2011,August,3.905
Bone-in Breast,2011,September,3.905
Bone-in Breast,2011,October,3.905
Bone-in Breast,2011,November,3.905
Bone-in Breast,2011,December,3.905
Whole Legs,2011,January,2.035
Whole Legs,2011,February,2.035
Whole Legs,2011,March,2.035
Whole Legs,2011,April,2.035
Whole Legs,2011,May,2.035
Whole Legs,2011,June,2.035
Whole Legs,2011,July,2.035
Whole Legs,2011,August,2.035
Whole Legs,2011,September,2.035
Whole Legs,2011,October,2.035
Whole Legs,2011,November,2.035
Whole Legs,2011,December,2.035
Thighs,2011,January,2.15
Thighs,2011,February,2.15
Thighs,2011,March,2.15
Thighs,2011,April,2.15
Thighs,2011,May,2.15
Thighs,2011,June,2.15
Thighs,2011,July,2.15
Thighs,2011,August,2.15
Thighs,2011,September,2.15
Thighs,2011,October,2.15
Thighs,2011,November,2.15
Thighs,2011,December,2.15
Whole,2010,January,2.48
Whole,2010,February,2.48
Whole,2010,March,2.48
Whole,2010,April,2.415
Whole,2010,May,2.35
Whole,2010,June,2.35
Whole,2010,July,2.415
Whole,2010,August,2.35
Whole,2010,September,2.35
Whole,2010,October,2.35
Whole,2010,November,2.35
Whole,2010,December,2.35
B/S Breast,2010,January,6.455
B/S Breast,2010,February,6.455
B/S Breast,2010,March,6.455
B/S Breast,2010,April,6.455
B/S Breast,2010,May,6.455
B/S Breast,2010,June,6.455
B/S Breast,2010,July,6.455
B/S Breast,2010,August,6.422999999999999
B/S Breast,2010,September,6.375
B/S Breast,2010,October,6.375
B/S Breast,2010,November,6.375
B/S Breast,2010,December,6.375
Bone-in Breast,2010,January,3.905
Bone-in Breast,2010,February,3.905
Bone-in Breast,2010,March,3.905
Bone-in Breast,2010,April,3.905
Bone-in Breast,2010,May,3.905
Bone-in Breast,2010,June,3.905
