state,county,total_employees
AE,APO,2
AK,ANCHORAGE,7
AK,FAIRBANKS NORTH STAR,2
AK,JUNEAU,3
AK,MATANUSKA-SUSITNA,2
AK,SITKA,1
AK,SKAGWAY MUNICIPALITY,88
AL,AUTAUGA,102
AL,BALDWIN,143
AL,BARBOUR,1
AL,BIBB,25
AL,BLOUNT,154
AL,BULLOCK,13
AL,BUTLER,29
AL,CALHOUN,45
AL,CHAMBERS,13
AL,CHEROKEE,9
AL,CHILTON,72
AL,CHOCTAW,7
AL,CLARKE,26
AL,CLAY,10
AL,CLEBURNE,7
AL,COFFEE,14
AL,COLBERT,199
AL,CONECUH,11
AL,COOSA,5
AL,COVINGTON,12
AL,CRENSHAW,5
AL,CULLMAN,129
AL,DALE,11
AL,DALLAS,122
AL,DEKALB,33
AL,ELMORE,116
AL,ESCAMBIA,47
AL,ETOWAH,78
AL,FAYETTE,3
AL,FRANKLIN,40
AL,GENEVA,8
AL,GREENE,7
AL,HALE,8
AL,HENRY,1
AL,HOUSTON,46
AL,JACKSON,55
AL,JEFFERSON,990
AL,LAMAR,25
AL,LAUDERDALE,117
AL,LAWRENCE,11
AL,LEE,46
AL,LIMESTONE,7
AL,LOWNDES,7
AL,MACON,6
AL,MADISON,29
AL,MARENGO,16
AL,MARION,17
AL,MARSHALL,29
AL,MOBILE,331
AL,MONROE,43
AL,MONTGOMERY,102
AL,MORGAN,42
AL,PERRY,4
AL,PICKENS,24
AL,PIKE,19
AL,RANDOLPH,39
AL,RUSSELL,38
AL,SHELBY,158
AL,ST CLAIR,162
AL,SUMTER,9
AL,TALLADEGA,42
AL,TALLAPOOSA,19
AL,TUSCALOOSA,60
AL,WALKER,192
AL,WASHINGTON,11
AL,WILCOX,11
AL,WINSTON,45
AP,APO,1
AR,ARKANSAS,11
AR,ASHLEY,18
AR,BAXTER,25
AR,BENTON,35
AR,BOONE,5
AR,BRADLEY,8
AR,CALHOUN,5
AR,CHICOT,3
AR,CLARK,40
AR,CLAY,13
AR,CLEBURNE,8
AR,CLEVELAND,79
AR,COLUMBIA,5
AR,CONWAY,19
AR,CRAIGHEAD,61
AR,CRAWFORD,55
AR,CRITTENDEN,48
AR,CROSS,30
AR,DALLAS,12
AR,DESHA,15
AR,DREW,34
AR,FAULKNER,289
AR,FRANKLIN,5
AR,FULTON,54
AR,GARLAND,68
AR,GRANT,167
AR,GREENE,15
AR,HEMPSTEAD,6
AR,HOT SPRING,79
AR,HOWARD,37
AR,INDEPENDENCE,32
AR,IZARD,4
AR,JACKSON,13
AR,JEFFERSON,361
AR,JOHNSON,7
AR,LAFAYETTE,11
AR,LAWRENCE,32
AR,LEE,3
AR,LINCOLN,54
AR,LITTLE RIVER,22
AR,LOGAN,4
AR,LONOKE,330
AR,MADISON,7
AR,MARION,8
AR,MILLER,10
AR,MISSISSIPPI,18
AR,MONROE,7
AR,MONTGOMERY,2
AR,NEVADA,15
AR,NEWTON,1
AR,OUACHITA,15
AR,PERRY,22
AR,PHILLIPS,11
AR,PIKE,10
AR,POINSETT,4
AR,POLK,17
AR,POPE,31
AR,PRAIRIE,5
AR,PULASKI,972
AR,RANDOLPH,19
AR,SALINE,262
AR,SCOTT,3
AR,SEBASTIAN,43
AR,SEVIER,50
AR,SHARP,20
AR,ST FRANCIS,16
AR,STONE,2
AR,UNION,20
AR,VAN BUREN,2
AR,WASHINGTON,46
AR,WHITE,102
AR,YELL,9
AZ,APACHE,270
AZ,COCHISE,60
AZ,COCONINO,268
AZ,GILA,37
AZ,GRAHAM,48
AZ,GREENLEE,3
AZ,LA PAZ,10
AZ,MARICOPA,462
AZ,MOHAVE,407
AZ,NAVAJO,510
AZ,PIMA,749
AZ,PINAL,154
AZ,SANTA CRUZ,18
AZ,YAVAPAI,63
AZ,YUMA,94
CA,ALAMEDA,346
CA,AMADOR,9
CA,BUTTE,69
CA,CALAVERAS,30
CA,COLUSA,2
CA,CONTRA COSTA,348
CA,EL DORADO,103
CA,FRESNO,341
CA,GLENN,4
CA,HUMBOLDT,2
CA,IMPERIAL,65
CA,KERN,500
CA,KINGS,21
CA,LAKE,2
CA,LASSEN,14
CA,LOS ANGELES,2545
CA,MADERA,39
CA,MARIN,12
CA,MARIPOSA,4
CA,MENDOCINO,6
CA,MERCED,59
CA,MODOC,3
CA,MONO,1
CA,MONTEREY,29
CA,NAPA,17
CA,NEVADA,36
CA,ORANGE,460
CA,PLACER,539
CA,PLUMAS,84
CA,RIVERSIDE,1567
CA,SACRAMENTO,738
CA,SAN BENITO,13
CA,SAN BERNARDINO,2888
CA,SAN DIEGO,206
CA,SAN FRANCISCO,61
CA,SAN JOAQUIN,474
CA,SAN LUIS OBISPO,98
CA,SAN MATEO,80
CA,SANTA BARBARA,36
CA,SANTA CLARA,244
CA,SANTA CRUZ,44
CA,SHASTA,69
CA,SIERRA,2
CA,SISKIYOU,83
CA,SOLANO,221
CA,SONOMA,38
CA,STANISLAUS,195
CA,SUTTER,54
CA,TEHAMA,10
CA,TRINITY,2
CA,TULARE,97
CA,TUOLUMNE,9
CA,VENTURA,68
CA,YOLO,62
CA,YUBA,88
CO,ADAMS,553
CO,ALAMOSA,10
CO,ARAPAHOE,128
CO,ARCHULETA,2
CO,BACA,3
CO,BENT,1
CO,BOULDER,71
CO,BROOMFIELD,42
CO,CHAFFEE,6
CO,CHEYENNE,1
CO,CLEAR CREEK,2
CO,CONEJOS,6
CO,COSTILLA,1
CO,CROWLEY,7
CO,CUSTER,3
CO,DELTA,16
