index,Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
0,European Championships 2022,46.86,08-13-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,1,Rome,ITA,0:0:46:86
1,13th FINA World Championships 2009,46.91,07-30-09,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,01-10-87,2,Rome,ITA,0:0:46:91
2,French National Championships (50m),46.94,04-23-09,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,05-01-83,3,Montpellier,FRA,0:0:46:94
3,18th FINA World Championships 2019,46.96,07-25-19,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,4,Gwangju,KOR,0:0:46:96
4,European Championships 2022,46.98,08-12-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,5,Rome,ITA,0:0:46:98
5,Olympic Games Tokyo 2020,47.02,07-29-21,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,08-16-96,6,Tokyo,JPN,0:0:47:02
6,Australian National Championships (50m),47.04,04-10-16,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,05-13-94,7,Adelaide,AUS,0:0:47:04
7,Olympic Games Beijing 2008,47.05,08-13-08,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,08-30-85,8,Beijing,CHN,0:0:47:05
8,8th FINA World Junior Swimming Championships 2022,47.07,08-30-22,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,09-15-04,9,Lima,PER,0:0:47:07
9,Olympic Games Tokyo 2020,47.08,07-29-21,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,10,Tokyo,JPN,0:0:47:08
10,18th FINA World Championships 2019,47.08,07-25-19,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,06-25-98,11,Gwangju,KOR,0:0:47:08
11,13th FINA World Championships 2009,47.09,07-26-09,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,01-10-87,12,Rome,ITA,0:0:47:09
12,2012 EnergyAustralia Swimming,47.10,03-15-12,Men 100 Freestyle LCM Male,AUS,Australia,"MAGNUSSEN, James",M,04-11-91,13,Adelaide,AUS,0:0:47:10
