Spec,Value,Racquet
Flex Rating,71,Tecnifibre TF-X1 300
Swing Weight,323,Tecnifibre TF-X1 300
Flex Rating,58,Prince Phantom 100X 305
Swing Weight,321,Prince Phantom 100X 305
Flex Rating,64,Prince Textreme Tour 95
Swing Weight,325,Prince Textreme Tour 95
Flex Rating,62,Head Graphene 360+ Speed Pro
Swing Weight,329,Head Graphene 360+ Speed Pro
Flex Rating,62,Prince Phantom 93P 14x18 Review
Swing Weight,329,Prince Phantom 93P 14x18 Review
Flex Rating,65,Yonex EZONE 98 2022
Swing Weight,318,Yonex EZONE 98 2022
Flex Rating,63,Yonex VCORE PRO 100
Swing Weight,321,Yonex VCORE PRO 100
Flex Rating,69,Babolat Pure Drive 107
Swing Weight,309,Babolat Pure Drive 107
Flex Rating,65,Head Radical MP 2023
Swing Weight,323,Head Radical MP 2023
Flex Rating,64,Tecnifibre TF40 315 16x19
Swing Weight,313,Tecnifibre TF40 315 16x19
Flex Rating,68,Volkl V-Cell V1 Pro
Swing Weight,316,Volkl V-Cell V1 Pro
Flex Rating,57,ProKennex Ki Black Ace Pro
Swing Weight,330,ProKennex Ki Black Ace Pro
Flex Rating,67,Solinco Whiteout 305 XTD
Swing Weight,333,Solinco Whiteout 305 XTD
Flex Rating,56,ProKennex Black Ace 315
Swing Weight,325,ProKennex Black Ace 315
Flex Rating,60,Wilson Clash 98 v2
Swing Weight,327,Wilson Clash 98 v2
Flex Rating,62,Prince ATS Textreme Tour 98
Swing Weight,325,Prince ATS Textreme Tour 98
Flex Rating,55,Prince Phantom Pro 100 18x20
Swing Weight,326,Prince Phantom Pro 100 18x20
Flex Rating,64,Yonex EZONE 98+
Swing Weight,333,Yonex EZONE 98+
Flex Rating,69,Tecnifibre TFight ISO 315
Swing Weight,324,Tecnifibre TFight ISO 315
Flex Rating,60,Prince Synergy 98
Swing Weight,334,Prince Synergy 98
Flex Rating,60,Wilson Blade 98 18x20 v8
Swing Weight,327,Wilson Blade 98 18x20 v8
Flex Rating,55,Wilson Clash 100
Swing Weight,312,Wilson Clash 100
Flex Rating,64,Tecnifibre TFight ISO 305 Racquet
Swing Weight,338,Tecnifibre TFight ISO 305 Racquet
Flex Rating,62,Head Gravity Pro
Swing Weight,332,Head Gravity Pro
Flex Rating,61,ProKennex Ki Q+ Tour Racquet  Review
Swing Weight,328,ProKennex Ki Q+ Tour Racquet  Review
Flex Rating,60,Prince Tour Diablo MP
Swing Weight,317,Prince Tour Diablo MP
Flex Rating,67,Yonex EZONE 100+ 2022
Swing Weight,336,Yonex EZONE 100+ 2022
Flex Rating,66,Tecnifibre TFight 300 RS
Swing Weight,320,Tecnifibre TFight 300 RS
Flex Rating,69,Babolat Pure Strike 100 3rd Gen
Swing Weight,319,Babolat Pure Strike 100 3rd Gen
Flex Rating,65,Head Prestige Tour 2021
Swing Weight,338,Head Prestige Tour 2021
Flex Rating,64,Tecnfibre TF40 305 18x20
Swing Weight,328,Tecnfibre TF40 305 18x20
Flex Rating,68,Pure Aero Tour 2019
Swing Weight,327,Pure Aero Tour 2019
Flex Rating,69,Babolat Pure Drive Plus
Swing Weight,324,Babolat Pure Drive Plus
Flex Rating,60,Prince Phantom 93P 18x20
Swing Weight,329,Prince Phantom 93P 18x20
Flex Rating,69,Wilson Blade SW102 Autograph
Swing Weight,349,Wilson Blade SW102 Autograph
Flex Rating,69,Volkl V-Cell 10 300g
Swing Weight,311,Volkl V-Cell 10 300g
Flex Rating,67,Volkl V-Cell 10 320g
Swing Weight,319,Volkl V-Cell 10 320g
Flex Rating,64,Prince Ripstick 100 300g
Swing Weight,325,Prince Ripstick 100 300g
Flex Rating,65,Prince Textreme Tour 100 (310)
Swing Weight,327,Prince Textreme Tour 100 (310)
Flex Rating,66,Wilson Pro Staff 97 v14
Swing Weight,332,Wilson Pro Staff 97 v14
Flex Rating,60,Yonex VCORE PRO 97 310
Swing Weight,318,Yonex VCORE PRO 97 310
Flex Rating,64,Dunlop CX 200
Swing Weight,317,Dunlop CX 200
Flex Rating,66,Prince Textreme Warrior 100
Swing Weight,320,Prince Textreme Warrior 100
Flex Rating,60,Wilson Blade 104 v8
Swing Weight,317,Wilson Blade 104 v8
Flex Rating,61,Prince ATS Textreme Tour 100P
Swing Weight,322,Prince ATS Textreme Tour 100P
Flex Rating,63,Prince Twistpower X105 (290g)
Swing Weight,312,Prince Twistpower X105 (290g)
Flex Rating,63,Dunlop CX 200 Tour 16x19
Swing Weight,318,Dunlop CX 200 Tour 16x19
Flex Rating,68,Dunlop SX 300
Swing Weight,322,Dunlop SX 300
Flex Rating,69,Dunlop FX 500 Tour
Swing Weight,318,Dunlop FX 500 Tour
Flex Rating,70,Tecnifibre TFight ISO 295
Swing Weight,324,Tecnifibre TFight ISO 295
Flex Rating,64,Yonex EZONE 98 Tour 2022
Swing Weight,332,Yonex EZONE 98 Tour 2022
Flex Rating,71,Solinco Blackout 300
Swing Weight,316,Solinco Blackout 300
Flex Rating,66,Babolat Pure Strike 18x20 3rd Gen Racquet  Review
