Year,Racquet
2022,Babolat Pure Aero 2023
2019,Babolat Pure Aero Plus 2019
2023,Babolat Pure Aero Plus 2023
2022,Babolat Pure Aero Team 2023
2021,Babolat Pure Drive 107
2020,Babolat Pure Drive 2021
2021,Babolat Pure Drive Plus
2021,Babolat Pure Drive Tour
2019,Babolat Pure Strike 100 3rd Gen
2022,Babolat Pure Strike 103
2019,Babolat Pure Strike 16x19 3rd Gen
2019,Babolat Pure Strike 18x20 3rd Gen Racquet  Review
2019,Babolat Pure Strike Tour 3rd Gen
2022,Babolat Pure Strike VS
2021,Dunlop CX 200
2021,Dunlop CX 200 OS
2021,Dunlop CX 200 Tour 16x19
2021,Dunlop CX 200 Tour 18x20
2023,Dunlop FX 500
2020,Dunlop FX 500 Tour
2022,Dunlop SX 300
2022,Dunlop SX 300 Tour
2021,Head Boom MP 2022
2021,Head Boom Pro 2022
2022,Head Extreme MP
2022,Head Extreme Tour
2020,Head Graphene 360+ Extreme MP
2020,Head Graphene 360+ Speed MP
2020,Head Graphene 360+ Speed Pro
2019,Head Gravity Pro
2021,Head Prestige MP 2021
2021,Head Prestige Pro 2021
2021,Head Prestige Tour 2021
2021,Head Radical MP 2021
2023,Head Radical MP 2023
2023,Head Radical Pro 2023
2022,Head Speed MP 2022
2022,Head Speed Pro 2022
2021,Lacoste L20
2022,Prince ATS Textreme Tour 100 290
2022,Prince ATS Textreme Tour 100 310
2022,Prince ATS Textreme Tour 100P
2022,Prince ATS Textreme Tour 95
2022,Prince ATS Textreme Tour 98
2023,Prince O3 Legacy 105
2020,Prince Phantom 100G
2020,Prince Phantom 100G LB
2020,Prince Phantom 100X 18x20
2020,Prince Phantom 100X 305
2020,Prince Phantom 107G
2020,Prince Phantom 93P 14x18 Review
2020,Prince Phantom 93P 18x20
2020,Prince Phantom 97P Review
2020,Prince Phantom O3 100X
2018,Prince Phantom Pro 100
2019,Prince Phantom Pro 100 18x20
2021,Prince Ripstick 100 300g
2021,Prince Synergy 98
2018,Prince Textreme Tour 100 (310)
2018,Prince Textreme Tour 100P
2019,Prince Textreme Tour 95
2016,Prince Textreme Warrior 100
2022,Prince Tour Diablo MP
2020,Prince Twistpower X100
2022,Prince Twistpower X100 Tour
2022,Prince Twistpower X105 (290g)
2021,Prince Vortex 300
2021,Prince Vortex 310g
2022,ProKennex Black Ace 105 Racquet  Review
2021,ProKennex Black Ace 300
2020,ProKennex Black Ace 315
2021,ProKennex Ki Black Ace Pro
2023,ProKennex Ki Q+ Tour Racquet  Review
2019,Pure Aero Tour 2019
2022,Solinco Blackout 300
2022,Solinco Blackout 300 XTD
2022,Solinco Whiteout 305
2022,Solinco Whiteout 305 XTD
2022,Tecnfibre TF40 305 18x20
2022,Tecnifibre TF40 305 16x19
2022,Tecnifibre TF40 315 16x19
2020,Tecnifibre TFight 300 RS
2020,Tecnifibre TFight 315 RS
2023,Tecnifibre TFight ISO 295
2023,Tecnifibre TFight ISO 300
2022,Tecnifibre TFight ISO 305 Racquet
2023,Tecnifibre TFight ISO 315
2021,Tecnifibre TF-X1 300
2022,Volkl C10 EVO
2023,Volkl C10 Pro 2022
2022,Volkl V1 EVO
2020,Volkl V8 Pro
2021,Volkl V-Cell 10 300g
2021,Volkl V-Cell 10 320g
2020,Volkl V-Cell 8 300g
2020,Volkl V-Cell 8 315g
2021,Volkl V-Cell V1 Pro
2021,Wilson Blade 104 v8
2021,Wilson Blade 98 16x19 v8
2021,Wilson Blade 98 18x20 v8
2021,Wilson Blade SW102 Autograph
2019,Wilson Clash 100
2022,Wilson Clash 100 Pro v2
2019,Wilson Clash 100 Tour
2022,Wilson Clash 100 v2
2021,Wilson Clash 100S
2019,Wilson Clash 98
2022,Wilson Clash 98 v2
2020,Wilson Pro Staff 97 v13
2023,Wilson Pro Staff 97 v14
2021,Wilson Pro Staff Six.One 100 v13
2022,Wilson Ultra 100 v4
2022,Yonex EZONE 100
2022,Yonex EZONE 100+ 2022
2020,Yonex EZONE 100+
2022,Yonex EZONE 98 2022
2020,Yonex EZONE 98 Tour
2022,Yonex EZONE 98 Tour 2022
2022,Yonex EZONE 98+
2021,Yonex VCORE 100
2023,Yonex VCORE 100 2023
2021,Yonex VCORE 100+
2021,Yonex VCORE 95
2023,Yonex VCORE 95 2023
2021,Yonex VCORE 98
2023,Yonex VCORE 98 2023
2021,Yonex VCORE 98+
2021,Yonex VCORE PRO 100
2021,Yonex VCORE PRO 97 310
2021,Yonex VCORE PRO 97D
2021,Yonex VCORE PRO 97H
